source_table,source_id,source_title,source_author_contributor,original_excerpt,language_script,hebrew_term,foreign_term,relationship_type,claimed_method,claimed_value,computed_or_claimed,existing_language_bridge,existing_alias,existing_graph_support,provenance,confidence,ambiguity,notes
nodes(language_bridge),a62cc410-67c7-470a-be34-e99ad22d3a0b,משיח ↔ мессия,curated (Zuriel),גם ברוסית — «мессия» תעתוק של «משיח».,Cyrillic/Russian,משיח,мессия,transliteration,transliteration,358,"Hebrew side computed & reproducible (משיח ragil=358, confirmed live in gematria_words); Russian side is an uncomputed phonetic-transliteration assertion, no numeric method applied to Cyrillic",YES (this row),no matching word_aliases row,edges: entity--has_language_bridge-->bridge--bridges_to-->foreign_word (26 live edges total for language_bridge),source=language_links; translation_source=curated (Zuriel); human_verified=true,medium (evidence_level=medium),low,Hebrew value independently confirmed against gematria_words in this audit.
nodes(language_bridge),b58240b4-5d30-4f1a-a2b1-68e5f5255a2d,סוד ↔ Secret,curated (Zuriel),"גילוי חוצה-שפות: Secret ב-English Ordinal (a=1..z=26) = 70, ו-סוד ברגיל = 70 — וגם סוד = התרגום של Secret. תרגום + ערך משותף (⭐⭐⭐⭐⭐). המשמעותי היחיד מתוך 280 זוגות-תרגום שנסרקו.",Latin/English,סוד,Secret,shared_numeric_value,English Ordinal (a=1..z=26),70,"BOTH sides independently reproducible: Hebrew סוד ragil=70 (confirmed live); English Ordinal S+E+C+R+E+T=19+5+3+18+5+20=70 (hand-verified in this audit, matches)",YES (this row),"YES — ALSO exists as word_aliases row (id eb85166d, alias='secret', alias_type=translation, source=zuriel) — two independent mechanisms recording the same claim, never cross-checked at intake (flagged live by a prior same-day agent pass, CORPUS_EXPANSION_PHASE_1)",edges (language_bridge),source=language_links; concept seed (curated) + engine-verified; human_verified=true,strong (evidence_level=strong),"none — the ONE flagged-strong result out of a stated 280 translation pairs scanned; described in the record itself as the standout, not the norm","Gold-set quality: full reproducible arithmetic on both language sides, explicit translation relation, explicit disclosure that it is 1 of 280 scanned (honest denominator)."
nodes(language_bridge),b10b8183-d84e-442d-9d13-679312a81219,פילוט ↔ pilot,curated (Zuriel),"אנגרם של «טיפול» — אותן 5 אותיות (ט·י·פ·ו·ל), שניהם שווים 135.",Latin/English,פילוט,pilot,transliteration,transliteration,135,"Hebrew side computed & reproducible (פילוט ragil=135, hand-verified); no independent English-letter computation performed on 'pilot' — the description's real content is a Hebrew-internal anagram fact (פילוט/טיפול, same 5 letters) NOT a foreign-language numeric relation",YES (this row),no,edges (language_bridge),source=language_links; curated (Zuriel); human_verified=true,medium (evidence_level=medium),"medium — this record CONFLATES two distinct relation types in one node: (1) he-en transliteration/translation (פילוט=pilot) and (2) a pure intra-Hebrew anagram (פילוט/טיפול). Per Phase 2 instruction these should be split; flagged, not corrected here (read-only).","See paired row for טיפול↔treatment below — same 135 cluster, same conflation pattern."
nodes(language_bridge),472a9f62-a5a8-4045-ab0c-8335134858b3,טיפול ↔ treatment,curated (Zuriel),"אותן אותיות של «פילוט», ערך רגיל 135. 135 = 15×9, ו-15 = י־ה.",Latin/English,טיפול,treatment,translation,translation-value,135,"Hebrew side computed & reproducible (טיפול ragil=135, hand-verified); no reproducible English-letter method shown for 'treatment' — the method label 'translation-value' does not correspond to a defined deterministic algorithm on the English word in this record",YES (this row),no,edges (language_bridge),source=language_links; curated (Zuriel); human_verified=true,medium (evidence_level=medium),"medium — same conflation issue as פילוט↔pilot; claimed_method 'translation-value' is not a named, reproducible foreign-side calculation method anywhere in the corpus",
nodes(language_bridge),6c53dbe7-804c-4a03-a93d-aaca4190bd25,משיח ↔ Messiah,curated (Zuriel),«Messiah» באנגלית היא תעתוק ישיר של «משיח» העברית (=358). התרגום המילולי: the anointed one.,Latin/English,משיח,Messiah,transliteration,transliteration,358,"Hebrew side computed & reproducible (משיח ragil=358, confirmed live); English side is a pure transliteration/naming claim, no numeric method applied to 'Messiah'",YES (this row),no,edges (language_bridge),source=language_links; curated (Zuriel); human_verified=true,medium (evidence_level=medium),low,"Companion Russian bridge (мессия) exists as a separate node — see row 1; together they form a real 3-language cluster (he/en/ru) around משיח, also referenced in post 5017."
nodes(language_bridge),2f108a0a-b38e-40de-ae37-4222bbb31bd4,שיחה ↔ conversation,curated (Zuriel),«שיחה» = דיבור; חלק מחוט־הגאולה «פתיחת פי אילם».,Latin/English,שיחה,conversation,translation,translation-value,323,"Hebrew side computed & reproducible (שיחה ragil=323, hand-verified); hand-checked English Ordinal on 'conversation' = 155, NOT 323 — the claimed_value does not come from an English-side calculation, it is the Hebrew value only, restated under a foreign_term label",YES (this row),no,edges (language_bridge),source=language_links; curated (Zuriel); human_verified=true,medium (evidence_level=medium) — audit note: methodological rigor here is weaker than the 'shared_value'/Ordinal-family rows,"medium — 'translation-value' method label is misleading; this is a pure translation claim (he=en meaning) with a Hebrew-only number, not a genuine cross-language numeric coincidence",Cross-checked against post 5017 which independently cites שיחה=conversation=323=שחיה (anagram) — the Hebrew number is corroborated across two corpus sources even though it is not itself a foreign-language calculation.
nodes(language_bridge),0c727027-f1c5-4382-9c12-917e2fa8c9dc,כהן ↔ priest,curated (Zuriel),"גשר ישיר חוצה-שפה: «priest» ב-Reverse Ordinal (a=26…z=1) = 75, ו-«כהן» ברגיל = 75 — וגם כהן = התרגום של priest. תרגום + ערך משותף. אומת במנוע (fn_ragil + Reverse-Ordinal דטרמיניסטי).",Latin/English,כהן,priest,shared_numeric_value,Reverse Ordinal (a=26..z=1),75,"Hebrew side computed & reproducible (כהן ragil=75, confirmed live); English 'Reverse Ordinal' claim not independently re-derived by hand in this audit but internally consistent with the stated deterministic rule",YES (this row),no,edges (language_bridge),source=language_links; concept seed (curated) + engine-verified; human_verified=true,strong (evidence_level=strong),low,"'Reverse Ordinal' is a real named deterministic method used consistently across several language_bridge rows (also: עבד/slave) but is NOT present in gematria_methods — it is corpus-external/claimed, not a canonical registry method."
nodes(language_bridge),581a7107-33a3-4f8f-a556-c4116c799325,כבוד ↔ glory,curated (Zuriel),"גשר ישיר חוצה-שפה: «glory» ב-Full Reduction (רדוקציה פיתגורית 1-9) = 32, ו-«כבוד» ברגיל = 32 — וגם כבוד = התרגום של glory.",Latin/English,כבוד,glory,shared_numeric_value,Full Reduction (Pythagorean 1-9),32,"Hebrew side computed & reproducible (כבוד ragil=32, confirmed live); English 'Full Reduction' claim not independently re-derived by hand",YES (this row),no,edges (language_bridge),source=language_links; concept seed (curated) + engine-verified; human_verified=true,strong (evidence_level=strong),low,'Full Reduction' is another named deterministic method used consistently but not in gematria_methods registry — claimed/external only.
nodes(language_bridge),22c3561a-1155-4b19-a66b-22a15a0ee2ec,נצחון ↔ victory,חידוש צוריאל,חידוש צוריאל (הגאולה). עובדות מאומתות-מנוע: «victory» ב-English Ordinal = 112 · יהוה(26)+אלהים(86) = 112 · יבק = 112 · «נצחון» ברגיל = 204 = צדיק. פרשנות (רמז): ...,Latin/English,נצחון,victory,translation,translation (En Ordinal 112 · He ragil 204),204,"Two DIFFERENT numeric claims bundled in one record: victory(EN Ordinal)=112 and נצחון(He ragil)=204 — these are NOT the same number, so this is not a shared_numeric_value case despite living in the 'shared bridge' mechanism; the 112 figure is separately linked to יהוה+אלהים and to a word יבק — a chain of associations, not a single reproducible he-en identity",YES (this row),no,edges (language_bridge),source=language_links; חידוש צוריאל · אומת במנוע; human_verified=true,"interpretive (evidence_level=interpretive, self-labeled by the system)","HIGH — record itself already separates FACT (the 3 individually-verified numbers) from INFERENCE (the thematic link between them); the record does not claim victory=נצחון numerically, only thematically","Good example of the system's own FACT/INTERPRETATION discipline working correctly — self-labeled evidence_level=interpretive is the honest signal, not a data quality problem."
nodes(language_bridge),bfcf3009-ca55-4232-b6fd-f1670b069103,עבד ↔ slave,curated (Zuriel),"גשר ישיר חוצה-שפה: «slave» ב-Reverse Ordinal (a=26…z=1) = 76, ו-«עבד» ברגיל = 76 — וגם עבד = התרגום המילולי של slave.",Latin/English,עבד,slave,shared_numeric_value,Reverse Ordinal (a=26..z=1),76,"Hebrew side computed & reproducible (עבד ragil=76, confirmed live); English Reverse Ordinal claim not independently re-derived by hand",YES (this row),no,edges (language_bridge),source=language_links; human_verified=true; translation_source field empty (only case among the strong-tier rows without a named translation_source),strong (evidence_level=strong),low,
