source_number,source_pool,generated_expression,generation_type,method,target_number,hit_types,target_is_anchor,corpus_support,corpus_phrase_count,node_support,convergence_support,package_support,independent_evidence_count,mechanical_duplicate,mechanical_reason,evidence_class
4,representative,ארבע,cardinal_wording,אטבח,127,ANCHOR,True,True,5,True,False,False,1,False,,B
4,representative,ארבע,digit_read,אטבח,127,ANCHOR,True,True,5,True,False,False,1,False,,B
69,representative,שישים ותשע,cardinal_wording,סידורי,140,ORDINARY_POOL,False,True,23,True,False,False,1,True,digit_permutation_partner=96,MECHANICAL_DUPLICATE
69,representative,שש תשע,digit_read,אטבח,220,ORDINARY_POOL,False,True,24,True,True,True,3,True,digit_permutation_partner=96,MECHANICAL_DUPLICATE
69,representative,שש תשע,digit_read,אתבש,14,ANCHOR,True,True,14,True,False,False,1,True,digit_permutation_partner=96,MECHANICAL_DUPLICATE
104,representative,מאה וארבע,cardinal_wording,אטבח,205,ORDINARY_POOL,False,True,16,True,False,False,1,True,digit_permutation_partner=140,MECHANICAL_DUPLICATE
104,representative,מאה וארבע,cardinal_wording,אלבם,266,ORDINARY_POOL,False,True,48,True,True,True,3,True,digit_permutation_partner=140,MECHANICAL_DUPLICATE
104,representative,מאה וארבע,cardinal_wording,מסתתר,513,ORDINARY_POOL,False,True,19,False,True,True,3,True,digit_permutation_partner=140,MECHANICAL_DUPLICATE
131,representative,אחד שלוש אחד,digit_read,גדול,662,ORDINARY_POOL,False,True,6,True,False,False,1,False,,B
131,representative,אחד שלוש אחד,digit_read,רגיל,662,ORDINARY_POOL,False,True,6,True,False,False,1,True,method_equiv_with=גדול,MECHANICAL_DUPLICATE
131,representative,אחד שלוש אחד,digit_read,סידורי,86,ANCHOR,True,True,14,True,True,False,2,False,,E
140,representative,מאה וארבעים,cardinal_wording,מסתתר,603,ORDINARY_POOL,False,True,10,True,False,False,1,True,digit_permutation_partner=104,MECHANICAL_DUPLICATE
