# RESIDUAL LEGACY POST CORPUS — PER-POST CLOSE-READ LEDGER (PARTIAL — WORK STOPPED BY ZURIEL)
#
# READ-ONLY. Denominator = 944. This file records ONLY posts actually close-read.
# Batch-1 close-read (24, findings in 60_FINDINGS.md): 1794 1074 250 1375 1348 1313 1420 977 298 123 133 44 8 1295 35 28 102 182 1322 197 86 68 1302 1301
# Batch-2 close-read recorded here: 209
# TOTAL CLOSE-READ = 233 / 944.  NOT COMPLETE.
#
# post_id	wp_id	date	text_len	score	depth	notes
9	36643	2026-03-25	14607	24	DENSE 355/9388	2026, סוד החשמל. NAMED: הרה"ג ר' אברהם הירש שליט"א (present in contributors as חוקר הצופן התנכי). Iran campaign began שבת פרשת תצוה; צו/תצוה read as זריזות → אחישנה. Head of the 70-post citation-reuse community (the מלך פרס מתגרה במלך ערבי block).
10	36497	2026-03-02	5340	72	DENSE 1525/5226	תיעוד אירועים 2026, tags סוד 1237/פורים/שחר יצחק קנדרו. Multi-contributor with timestamps: «מאת אבני רונן», «מאת צ.ס», «[9.3, 12:02] zuriel: מאת שחר יצחק קנדרו». Claims: 216 = אלוקים הוא טוב = הארי = אריה = גבורה; «ויאמר אלהים אל משה אהיה אשר אהיה…» = 3338, tied to 2448 (Exodus) + 3338 = 5786/ה'תשפ"ו — a CHRONOLOGY-BY-GEMATRIA procedure (verse value used as a year-interval); 424 = דונלד טראמפ = משיח בן דוד; 958 = העולם = משיח שקר; 718 = חדשות; 776 = ביאת המשיח; 586 = ירושלם = שופר; 1776 = «מוגתבא חמינאי…» = «David ben yishay» (ENGLISH transliteration valued — a cross-language claim) = US founding year; 111 = הפוך = פלא. Wordplay: הורמוז → רמז.
15	36452	2026-02-02	1041	35	FULL 453/963	⭐ 2026. «מסע הגימטריה: 111 → 222 → 333» — the corpus's NUMBER-FAMILY DOCTRINE stated as a formal progression from spiritual to material: 111=אלף (נס=110); 222=דבור=רכב; 333=חשך=שכחה=שלג=«קוד הבריאה», גל=33; plus 112=י-הוה+א-להים=משיח(אתב"ש); השגה=313. Explicit doctrinal statement: «אנו משיגים מתוך הפלא (111) דרך החשכה (333)». Same doctrine as post 982.
17	36436	2026-01-28	1307	17	FULL 284/1251	2026, tags עמירם טובי / רני גואלי / 250. Hostage רן גווילי released after 843 days: 843 = משיח+תודעה; reversed 348 = שליח; «מ-348 ל-358» via gathering the 10 soul-powers — an explicit REVERSAL + INCREMENT doctrine (אור חוזר family).
26	36251	2025-09-29	144	13	FULL	⭐ «הצופן מאת: נריה דויטש». «יום משיח בא» / «מחכים תשפ"ו» / «שופר + משיח + לכפר עליכם» at MINIMAL SKIP, plus «בדילוג 583 בהיפוך 385 = שכינה – משיח = 358» — skip and its digit-reversal both assigned meaning. Note: «יום משיח בא» was the ELS tool's former default search term (removed per els_search_gate_law) — the post is its origin.
27	36238	2025-09-25	1660	14	FULL 285/1627	2025 Sussita gold hoard (Haifa University archaeology). רמזי 16 and רמזי 14 read off the find. Archaeology-as-sign.
34	36114	2025-07-28	2119	30	FULL 425/2068	«מאת: חיים שיפמן» (cf. ר' מ. שיפמן elsewhere). 3280 מלאכי חבלה (Arizal) = ט' באב ה'תשפ"ה computed as a day-count; הגר"ש אוסטרופולי on «ולהכות באגרף רשע»; שר"ע → מוחמד אשר"ע. Day-count-as-gematria procedure.
39	36056	2025-07-03	27940	41	DENSE 506/21645	סוד החשמל 2025, tags 271/השביעי באוקטובר/עזה. GEOGRAPHIC SOURCE: קונטרס «מפות לארצות התנ"ך» מהג"ר יהודה לנדי zt"l — מדבר פארן spans Beer-Sheva/Gaza to Sinai; used to locate the war's origin in Paran. Scholarly-geographic sourcing rather than gematria.
40	36035	2025-06-28	6075	51	DENSE 725/5174	תיעוד אירועים 2025. CALENDAR ARITHMETIC: 5566 days claimed since a marker → 5566/365 = 15.25 = 15y3m → ל' באלול ה'ת"ת = 5800, tied to רמב"ן on «האלף לך שלמה ומאתיים לנוטרים» → 6000−200 = 5800 as the end of גאולה בעתה. Also משיח בן יוסף=566; המשיח=363; «ראיפע»=363 באתב"ש «עם 2 המילים (שני הכוללים)» — explicit DOUBLE-KOLLEL operator. Source: הרב ש"ך in his hesped for the Steipler; קהלת ג,ד.
50	35642	2025-04-23	5120	40	DENSE 454/5699	מאת ציון סיבוני. נבצרות=748 placed BETWEEN 747(משה בן עמרם) and 749(כיפת ברזל/חמת אש) — a NUMBER-NEIGHBOURHOOD procedure (reading a value by its ±1 neighbours), with the kollel as the transition operator («כאשר מוסיפים את אלופו של עולם עוברים … מנבצרות ל-כיפת ברזל»). Also נבצרות=נב+צרות; צרות=696=שמשון=בנימין נתניהו(אותיות וכולל); בטן המילוי=876=יוסף.
52	35593	2025-04-03	36623	93	DENSE 3026/26476	סוד החשמל + Pesach. Explicit operators «עם האותיות» and «עם המילים» used as the distinguishing factor of each claim. Claims: החדש הזה לכם = שם כד"ת = משיח בן דוד; ניסן תשפ"ה = «אני הוי"ה בעתה אחישנה» עם האותיות; ליל הסדר תשפ"ה = «שמע ישראל יהו"ה אלהינו יהו"ה אחד» עם המילים; חג המצות תשפ"ה = בשורות טובות; ניסן נגאלו = אירן (attributed הרה"ג ר' ד. לב שליט"א); וישמע אברם כי נשבה אחיו = משיח; כי נשבה = דוד בן ישי; לוט = גאולה. CHRONOLOGY: 2025 לבריאה = Abraham rescues Lot at ליל פסח → root of דוד; aligned to 2025 למניינם. NAMED: מהר"ש אוסטרופולי, הרה"ג ר' מ. פ., הרה"ג ר' ד. לב, הרה"ג ר' ציון דוד סיבוני. Sources: פרקי דרבי אליעזר כז, קה"ר ח,ט, רש"י.
53	35587	2025-03-26	21654	55	DENSE 1176/15053	סוד החשמל. POSITIONAL CORPUS CLAIM: verse #5785 from the Torah's start = דברים לב,לג «חמת תנינם יינם» — same family as the already-held research_object wordpress/posts:53. Derivations: ר"ת «ראש פתנים אכזר» = רוסיה; ס"ת = פתין; anagram תנינ"ם י"ם חתי"ם תימ"ן. NAMED: הרה"ג ר' ד. א., הרה"ג ר' מ. שיפמן, הרה"ג ר' ג. פ. Source: זהר פנחס רמט: (birth of two messiahs, י"ד ניסן). CORPUS-IDENTITY-DEPENDENT (verse numbering).
