check,result,detail
row identity: CSV rows vs live gematria_words rows,15433 = 15433 (exact match),Both sets contain exactly 15433 rows/ids.
row identity: CSV distinct ids vs total ids,15433 = 15433 (0 duplicate ids in CSV),Confirmed via python set/list comparison.
row identity: live gematria_words distinct ids vs total rows,15433 = 15433 (0 duplicate ids in DB),Confirmed via COUNT(*) vs COUNT(DISTINCT id).
row identity: ids present in CSV but missing from live DB,0,Full set-difference computed both directions; empty.
row identity: ids present in live DB but missing from CSV,0,Full set-difference computed both directions; empty.
row identity: exact set equality (CSV ids == DB ids),TRUE,csv_id_set == db_id_set evaluated True in python.
"ambiguous joins (one CSV id matching >1 DB row, or vice versa)",0,id is the primary key on both sides; no ambiguity possible given the above.
phrase cross-check: CSV.phrase vs DB.phrase for same id,15433/15433 exact string match (0 mismatches),"Confirms the id-based join is matching real, correct rows — not coincidental UUID overlap."
source cross-check: CSV.source vs DB.source for same id,15433/15433 exact string match (0 mismatches),"v3 was built directly FROM this live column; confirms lineage, adds no new source information on its own."
"live phrase-duplication (pre-existing, unrelated to v3)",2 duplicate-phrase pairs found live: 'דויד בן ישי עבדך אליהו הנביא בית מקדש ∆' (2 ids) and 'בראשית (ב ∆ ישר והפוך)' (2 ids),"Pre-existing in gematria_words itself (15433 total, 15431 distinct phrase text) — not introduced by v3, and NOT the same rows v3's own duplicate_flag marks (see below). Falls under the existing preserve_linked_row rule if ever deduped."
v3's own duplicate_flag vs live duplication,"MISMATCH: v3 flags 2 different rows ('קרח ועדתו' / 'בי נשבעתי') as duplicate_flag=yes, neither of which is part of the 2 live duplicate-phrase pairs above","v3's 'duplicate' concept is internal to its own multi-pass build pipeline (merge of several classification batches), not a live-DB phrase duplicate. Do not conflate the two when deciding what (if anything) to deduplicate."
"dna_status (live, 4 values) vs corpus_role (v3, 11 values)","NOT a clean re-labeling — dna_status='promoted' (7274 rows) maps to 3 different corpus_role values (research_vocabulary=7136, thematic_corpus=108, research_package=27, public_core=2); dna_status=NULL (812 rows) maps to 6 different corpus_role values","No direct contradiction found (no case where a value in one system explicitly negates the other) — but the two taxonomies are NOT redundant and do NOT collapse into one. corpus_role is real, additional classification information, not a copy."
"world_theme (v3, 29-column CSV) vs world (live gematria_words column)","v3.world_theme is 100% empty (0/15433) while live world is populated for 1341/15433 rows across 5 values (גאולה, שמות הקודש, תורה וקודש, חתימות 1820, ספירות)",v3's world_theme column exists in the header but carries zero data — a placeholder never populated during the research pass. No conflict possible (nothing to compare); the live column is strictly more complete. Recommend dropping this empty column from any future write.
"is_verified (live boolean) vs primary_confidence (v3, 4 tiers)","'high' confidence rows: is_verified=True in 9629/9648 (99.8%) — strong, consistent | 'medium': True in 2835/4460 (64%) — weak, not a clean mapping | 'low': True in only 1/995 — consistent | 'reconstructed_step3' (the 330 WhatsApp rows): True in 90/330 — matches the prior session's own accounting of 90 verified=True WhatsApp rows exactly","Correlated but not identical; 'medium' tier in particular does not map cleanly to is_verified either way. No hard contradiction found (no row where v3 asserts 'high confidence' but the engine-verified fact is something else — is_verified is a different kind of fact, about the value being engine-computed, not about corpus_role classification confidence)."
QA flags (garbage_broken_flag / ambiguity_unresolved_flag / duplicate_flag) vs live is_verified / dna_status,"garbage_broken_flag row: is_verified=False (consistent) | ambiguity_unresolved_flag row 'יהוה בעת ההיא': is_verified=TRUE (soft tension — different axes, not a hard contradiction) | duplicate_flag rows: dna_status=NULL, is_verified=True (no live-duplication counterpart, see above)",All 4 flagged rows individually inspected against live DB state. No case found where a v3 flag makes a claim the live DB data directly falsifies as a fact (e.g. no case of garbage_broken_flag=yes on a row the DB otherwise treats as a verified canonical value).
node_id linkage (graph connectivity),505/15433 rows (3.3%) already have a live gematria_words.node_id — matches the figure already recorded in SOD1820_MASTER_STATE.md §6 exactly,v3 has no node_id column at all — this connectivity fact is invisible to v3 and must be preserved/respected by any future write (do not disconnect graph-linked rows).
visibility_tier (live) vs corpus_role (v3) cross-tab,research_vocabulary/thematic_corpus/research_package/archival_raw/numeric_word_construct/personal_or_restricted/conversational_noise/human_review are almost entirely visibility_tier=3; public_core is mostly tier=1 (664/762),"No contradiction, but the pattern (public_core mostly tier=1, everything else mostly tier=3) is data worth a human read before any access-tier redesign is attempted from research_package_availability."
"method-mention rows (method_mention_type family, 796 rows) vs research_objects","0 of these 796 rows currently exist as research_objects entries (research_objects has 124 total rows today, none traceable to this v3 batch)",Confirms the destination proposed in the prior session's PROPOSED_PERSISTENCE_PASS.md (item #2) is still unexecuted — 0 DB footprint for this data today.
"numeric-word rows (numeric_word_value family, 141 rows) vs research_objects.value",0 of these 141 rows currently exist as research_objects entries,Same status — proposed destination (item #3/#5 of the prior plan) remains unexecuted; 0 DB footprint today.
"research_package_cluster (124 real cluster labels, 16 distinct cluster names) vs live graph (nodes/edges)",0 corresponding edges found; MASTER_STATE §6 separately confirms year↔number edges=0 and event↔number edges=0 live,No existing graph structure to conflict with or extend from directly — this is genuinely unbuilt relationship territory.
