id,phrase_claim_text,corpus_role,source_claim_rule,live_stored_ragil,live_fn_ragil_now_on_full_phrase,live_ragil_matches_claim_or_stored,live_is_verified,live_node_id,exists_in_research_objects,independent_claim_or_verification_metadata,classification,destination_recommended,human_gate_required,notes
23cf3a56-0cd2-43d6-9dc6-374c3bca60f9,שכינה = רגיל 385 + ∆1438 = 1820 !!,numeric_word_construct,raw_unparsed_formula_dump,628,628,MATCH (coincidental — see notes),False,,"NO (0/32 confirmed — none of the 796-row method_mention_type family exists in research_objects today, per MASTER_CLASSIFICATION_V3_RECONCILIATION.csv row 19)","AMBIGUOUS — the phrase text bundles a subject + a self-reported method+value claim into one gematria_words.phrase string (raw excel-import artifact); this pass did not isolate a 'clean subject' substring (that isolation is itself an interpretive/human step, not a mechanical one) so cannot certify the claim true or false — only that it disagrees with the engine's reading of the row as currently stored.",NEEDS_HUMAN_DECISION,"research_objects (candidate) — kind='observation', status='candidate', engine_verified=false (explicitly, not true), source='master_classification_v3', source_ref='gematria_words:23cf3a56-0cd2-43d6-9dc6-374c3bca60f9', evidence=<this row's notes>, privacy_scope='public_candidate', owner_person_id=NULL","YES — before any engine_verified=true, before any promoted_node_id, before any gematria_words change","Live fn_ragil(phrase) run fresh in this pass on the phrase exactly as stored in gematria_words does not reproduce the number(s) claimed inline in the phrase text (the claim is embedded IN the raw excel-import phrase itself, e.g. '<subject> = <value> <method>' or '<subject> <value> <method>'). This means v3's own method_claim_status=engine_verified label is NOT corroborated by re-running the canonical engine against the row as it lives in gematria_words today — the label appears to reflect the v3 CSV-build pipeline's internal text-pattern match, not a fresh engine re-computation. gematria_words.is_verified=false for all 32/32 rows independently confirms none of these are flagged verified by the live system's own truth column."
15d2a328-6b91-4464-b0a5-3b567272ac23,ברית בין הבתרים רגיל 1331 ועוד ∆ 5430,numeric_word_construct,raw_unparsed_formula_dump,6440,1660,MISMATCH,False,,"NO (0/32 confirmed — none of the 796-row method_mention_type family exists in research_objects today, per MASTER_CLASSIFICATION_V3_RECONCILIATION.csv row 19)","AMBIGUOUS — the phrase text bundles a subject + a self-reported method+value claim into one gematria_words.phrase string (raw excel-import artifact); this pass did not isolate a 'clean subject' substring (that isolation is itself an interpretive/human step, not a mechanical one) so cannot certify the claim true or false — only that it disagrees with the engine's reading of the row as currently stored.",NEEDS_HUMAN_DECISION,"research_objects (candidate) — kind='observation', status='candidate', engine_verified=false (explicitly, not true), source='master_classification_v3', source_ref='gematria_words:15d2a328-6b91-4464-b0a5-3b567272ac23', evidence=<this row's notes>, privacy_scope='public_candidate', owner_person_id=NULL","YES — before any engine_verified=true, before any promoted_node_id, before any gematria_words change","Live fn_ragil(phrase) run fresh in this pass on the phrase exactly as stored in gematria_words does not reproduce the number(s) claimed inline in the phrase text (the claim is embedded IN the raw excel-import phrase itself, e.g. '<subject> = <value> <method>' or '<subject> <value> <method>'). This means v3's own method_claim_status=engine_verified label is NOT corroborated by re-running the canonical engine against the row as it lives in gematria_words today — the label appears to reflect the v3 CSV-build pipeline's internal text-pattern match, not a fresh engine re-computation. gematria_words.is_verified=false for all 32/32 rows independently confirms none of these are flagged verified by the live system's own truth column."
189b84ee-7eeb-4d87-ab40-cfe7a81227b2,אני מודה לך על הנסיון האחרון 717 רגיל,thematic_corpus,raw_unparsed_formula_dump,2015,960,MISMATCH,False,,"NO (0/32 confirmed — none of the 796-row method_mention_type family exists in research_objects today, per MASTER_CLASSIFICATION_V3_RECONCILIATION.csv row 19)","AMBIGUOUS — the phrase text bundles a subject + a self-reported method+value claim into one gematria_words.phrase string (raw excel-import artifact); this pass did not isolate a 'clean subject' substring (that isolation is itself an interpretive/human step, not a mechanical one) so cannot certify the claim true or false — only that it disagrees with the engine's reading of the row as currently stored.",NEEDS_HUMAN_DECISION,"research_objects (candidate) — kind='observation', status='candidate', engine_verified=false (explicitly, not true), source='master_classification_v3', source_ref='gematria_words:189b84ee-7eeb-4d87-ab40-cfe7a81227b2', evidence=<this row's notes>, privacy_scope='public_candidate', owner_person_id=NULL","YES — before any engine_verified=true, before any promoted_node_id, before any gematria_words change","Live fn_ragil(phrase) run fresh in this pass on the phrase exactly as stored in gematria_words does not reproduce the number(s) claimed inline in the phrase text (the claim is embedded IN the raw excel-import phrase itself, e.g. '<subject> = <value> <method>' or '<subject> <value> <method>'). This means v3's own method_claim_status=engine_verified label is NOT corroborated by re-running the canonical engine against the row as it lives in gematria_words today — the label appears to reflect the v3 CSV-build pipeline's internal text-pattern match, not a fresh engine re-computation. gematria_words.is_verified=false for all 32/32 rows independently confirms none of these are flagged verified by the live system's own truth column."
19b34a2f-8e44-41e3-a77e-cb329839bc57,: וְעֹשֶׂה חֶסֶד לִמְשִׁיחוֹ לְדָוִד וּלְזַרְעוֹ עַד עוֹלָם = 1430 רגיל,thematic_corpus,unverified_general_candidate,1430,1673,MISMATCH,False,,"NO (0/32 confirmed — none of the 796-row method_mention_type family exists in research_objects today, per MASTER_CLASSIFICATION_V3_RECONCILIATION.csv row 19)","AMBIGUOUS — the phrase text bundles a subject + a self-reported method+value claim into one gematria_words.phrase string (raw excel-import artifact); this pass did not isolate a 'clean subject' substring (that isolation is itself an interpretive/human step, not a mechanical one) so cannot certify the claim true or false — only that it disagrees with the engine's reading of the row as currently stored.",NEEDS_HUMAN_DECISION,"research_objects (candidate) — kind='observation', status='candidate', engine_verified=false (explicitly, not true), source='master_classification_v3', source_ref='gematria_words:19b34a2f-8e44-41e3-a77e-cb329839bc57', evidence=<this row's notes>, privacy_scope='public_candidate', owner_person_id=NULL","YES — before any engine_verified=true, before any promoted_node_id, before any gematria_words change","Live fn_ragil(phrase) run fresh in this pass on the phrase exactly as stored in gematria_words does not reproduce the number(s) claimed inline in the phrase text (the claim is embedded IN the raw excel-import phrase itself, e.g. '<subject> = <value> <method>' or '<subject> <value> <method>'). This means v3's own method_claim_status=engine_verified label is NOT corroborated by re-running the canonical engine against the row as it lives in gematria_words today — the label appears to reflect the v3 CSV-build pipeline's internal text-pattern match, not a fresh engine re-computation. gematria_words.is_verified=false for all 32/32 rows independently confirms none of these are flagged verified by the live system's own truth column."
1cb2118f-3259-457b-8e0f-5efc797f69c8,משיח הגיע 446 - אתבש 449 - 1393 396 מסתתר,archival_raw,raw_unparsed_formula_dump,449,2249,MISMATCH,False,,"NO (0/32 confirmed — none of the 796-row method_mention_type family exists in research_objects today, per MASTER_CLASSIFICATION_V3_RECONCILIATION.csv row 19)","AMBIGUOUS — the phrase text bundles a subject + a self-reported method+value claim into one gematria_words.phrase string (raw excel-import artifact); this pass did not isolate a 'clean subject' substring (that isolation is itself an interpretive/human step, not a mechanical one) so cannot certify the claim true or false — only that it disagrees with the engine's reading of the row as currently stored.",NEEDS_HUMAN_DECISION,"research_objects (candidate) — kind='observation', status='candidate', engine_verified=false (explicitly, not true), source='master_classification_v3', source_ref='gematria_words:1cb2118f-3259-457b-8e0f-5efc797f69c8', evidence=<this row's notes>, privacy_scope='public_candidate', owner_person_id=NULL","YES — before any engine_verified=true, before any promoted_node_id, before any gematria_words change","Live fn_ragil(phrase) run fresh in this pass on the phrase exactly as stored in gematria_words does not reproduce the number(s) claimed inline in the phrase text (the claim is embedded IN the raw excel-import phrase itself, e.g. '<subject> = <value> <method>' or '<subject> <value> <method>'). This means v3's own method_claim_status=engine_verified label is NOT corroborated by re-running the canonical engine against the row as it lives in gematria_words today — the label appears to reflect the v3 CSV-build pipeline's internal text-pattern match, not a fresh engine re-computation. gematria_words.is_verified=false for all 32/32 rows independently confirms none of these are flagged verified by the live system's own truth column."
37fc0e51-e580-4bbd-bc8c-0c44aa4f82ec,הסוף לגזענות = 717 רגיל !,numeric_word_construct,raw_unparsed_formula_dump,,960,NO_STORED_VALUE,False,,"NO (0/32 confirmed — none of the 796-row method_mention_type family exists in research_objects today, per MASTER_CLASSIFICATION_V3_RECONCILIATION.csv row 19)","AMBIGUOUS — the phrase text bundles a subject + a self-reported method+value claim into one gematria_words.phrase string (raw excel-import artifact); this pass did not isolate a 'clean subject' substring (that isolation is itself an interpretive/human step, not a mechanical one) so cannot certify the claim true or false — only that it disagrees with the engine's reading of the row as currently stored.",NEEDS_HUMAN_DECISION,"research_objects (candidate) — kind='observation', status='candidate', engine_verified=false (explicitly, not true), source='master_classification_v3', source_ref='gematria_words:37fc0e51-e580-4bbd-bc8c-0c44aa4f82ec', evidence=<this row's notes>, privacy_scope='public_candidate', owner_person_id=NULL","YES — before any engine_verified=true, before any promoted_node_id, before any gematria_words change","Live fn_ragil(phrase) run fresh in this pass on the phrase exactly as stored in gematria_words does not reproduce the number(s) claimed inline in the phrase text (the claim is embedded IN the raw excel-import phrase itself, e.g. '<subject> = <value> <method>' or '<subject> <value> <method>'). This means v3's own method_claim_status=engine_verified label is NOT corroborated by re-running the canonical engine against the row as it lives in gematria_words today — the label appears to reflect the v3 CSV-build pipeline's internal text-pattern match, not a fresh engine re-computation. gematria_words.is_verified=false for all 32/32 rows independently confirms none of these are flagged verified by the live system's own truth column."
3b6ebafb-3f98-4f08-b45b-f3891e7f4596,עם קשה עורף אנחנו ב = 988 רגיל = עשרה בטבת,numeric_word_construct,raw_unparsed_formula_dump,,2219,NO_STORED_VALUE,False,,"NO (0/32 confirmed — none of the 796-row method_mention_type family exists in research_objects today, per MASTER_CLASSIFICATION_V3_RECONCILIATION.csv row 19)","AMBIGUOUS — the phrase text bundles a subject + a self-reported method+value claim into one gematria_words.phrase string (raw excel-import artifact); this pass did not isolate a 'clean subject' substring (that isolation is itself an interpretive/human step, not a mechanical one) so cannot certify the claim true or false — only that it disagrees with the engine's reading of the row as currently stored.",NEEDS_HUMAN_DECISION,"research_objects (candidate) — kind='observation', status='candidate', engine_verified=false (explicitly, not true), source='master_classification_v3', source_ref='gematria_words:3b6ebafb-3f98-4f08-b45b-f3891e7f4596', evidence=<this row's notes>, privacy_scope='public_candidate', owner_person_id=NULL","YES — before any engine_verified=true, before any promoted_node_id, before any gematria_words change","Live fn_ragil(phrase) run fresh in this pass on the phrase exactly as stored in gematria_words does not reproduce the number(s) claimed inline in the phrase text (the claim is embedded IN the raw excel-import phrase itself, e.g. '<subject> = <value> <method>' or '<subject> <value> <method>'). This means v3's own method_claim_status=engine_verified label is NOT corroborated by re-running the canonical engine against the row as it lives in gematria_words today — the label appears to reflect the v3 CSV-build pipeline's internal text-pattern match, not a fresh engine re-computation. gematria_words.is_verified=false for all 32/32 rows independently confirms none of these are flagged verified by the live system's own truth column."
3bbbfd53-f7bb-4dbd-818b-38474bef7041,הסוף לשלטון המושחת = 1335 רגיל !!,archival_raw,raw_unparsed_formula_dump,,1578,NO_STORED_VALUE,False,,"NO (0/32 confirmed — none of the 796-row method_mention_type family exists in research_objects today, per MASTER_CLASSIFICATION_V3_RECONCILIATION.csv row 19)","AMBIGUOUS — the phrase text bundles a subject + a self-reported method+value claim into one gematria_words.phrase string (raw excel-import artifact); this pass did not isolate a 'clean subject' substring (that isolation is itself an interpretive/human step, not a mechanical one) so cannot certify the claim true or false — only that it disagrees with the engine's reading of the row as currently stored.",NEEDS_HUMAN_DECISION,"research_objects (candidate) — kind='observation', status='candidate', engine_verified=false (explicitly, not true), source='master_classification_v3', source_ref='gematria_words:3bbbfd53-f7bb-4dbd-818b-38474bef7041', evidence=<this row's notes>, privacy_scope='public_candidate', owner_person_id=NULL","YES — before any engine_verified=true, before any promoted_node_id, before any gematria_words change","Live fn_ragil(phrase) run fresh in this pass on the phrase exactly as stored in gematria_words does not reproduce the number(s) claimed inline in the phrase text (the claim is embedded IN the raw excel-import phrase itself, e.g. '<subject> = <value> <method>' or '<subject> <value> <method>'). This means v3's own method_claim_status=engine_verified label is NOT corroborated by re-running the canonical engine against the row as it lives in gematria_words today — the label appears to reflect the v3 CSV-build pipeline's internal text-pattern match, not a fresh engine re-computation. gematria_words.is_verified=false for all 32/32 rows independently confirms none of these are flagged verified by the live system's own truth column."
40627db3-97e6-45bd-815d-0d418e523aeb,קץ היהדות רגיל 620 1037,numeric_word_construct,raw_unparsed_formula_dump,2701,863,MISMATCH,False,,"NO (0/32 confirmed — none of the 796-row method_mention_type family exists in research_objects today, per MASTER_CLASSIFICATION_V3_RECONCILIATION.csv row 19)","AMBIGUOUS — the phrase text bundles a subject + a self-reported method+value claim into one gematria_words.phrase string (raw excel-import artifact); this pass did not isolate a 'clean subject' substring (that isolation is itself an interpretive/human step, not a mechanical one) so cannot certify the claim true or false — only that it disagrees with the engine's reading of the row as currently stored.",NEEDS_HUMAN_DECISION,"research_objects (candidate) — kind='observation', status='candidate', engine_verified=false (explicitly, not true), source='master_classification_v3', source_ref='gematria_words:40627db3-97e6-45bd-815d-0d418e523aeb', evidence=<this row's notes>, privacy_scope='public_candidate', owner_person_id=NULL","YES — before any engine_verified=true, before any promoted_node_id, before any gematria_words change","Live fn_ragil(phrase) run fresh in this pass on the phrase exactly as stored in gematria_words does not reproduce the number(s) claimed inline in the phrase text (the claim is embedded IN the raw excel-import phrase itself, e.g. '<subject> = <value> <method>' or '<subject> <value> <method>'). This means v3's own method_claim_status=engine_verified label is NOT corroborated by re-running the canonical engine against the row as it lives in gematria_words today — the label appears to reflect the v3 CSV-build pipeline's internal text-pattern match, not a fresh engine re-computation. gematria_words.is_verified=false for all 32/32 rows independently confirms none of these are flagged verified by the live system's own truth column."
4699e539-a8b6-4ade-97f5-a2b065fe7989,סוף פוליטיקה = 396 רגיל,numeric_word_construct,raw_unparsed_formula_dump,,639,NO_STORED_VALUE,False,,"NO (0/32 confirmed — none of the 796-row method_mention_type family exists in research_objects today, per MASTER_CLASSIFICATION_V3_RECONCILIATION.csv row 19)","AMBIGUOUS — the phrase text bundles a subject + a self-reported method+value claim into one gematria_words.phrase string (raw excel-import artifact); this pass did not isolate a 'clean subject' substring (that isolation is itself an interpretive/human step, not a mechanical one) so cannot certify the claim true or false — only that it disagrees with the engine's reading of the row as currently stored.",NEEDS_HUMAN_DECISION,"research_objects (candidate) — kind='observation', status='candidate', engine_verified=false (explicitly, not true), source='master_classification_v3', source_ref='gematria_words:4699e539-a8b6-4ade-97f5-a2b065fe7989', evidence=<this row's notes>, privacy_scope='public_candidate', owner_person_id=NULL","YES — before any engine_verified=true, before any promoted_node_id, before any gematria_words change","Live fn_ragil(phrase) run fresh in this pass on the phrase exactly as stored in gematria_words does not reproduce the number(s) claimed inline in the phrase text (the claim is embedded IN the raw excel-import phrase itself, e.g. '<subject> = <value> <method>' or '<subject> <value> <method>'). This means v3's own method_claim_status=engine_verified label is NOT corroborated by re-running the canonical engine against the row as it lives in gematria_words today — the label appears to reflect the v3 CSV-build pipeline's internal text-pattern match, not a fresh engine re-computation. gematria_words.is_verified=false for all 32/32 rows independently confirms none of these are flagged verified by the live system's own truth column."
47046bc3-5594-428d-b885-14d1bac91172,הסוף לזנות = 644 רגיל,numeric_word_construct,raw_unparsed_formula_dump,,887,NO_STORED_VALUE,False,,"NO (0/32 confirmed — none of the 796-row method_mention_type family exists in research_objects today, per MASTER_CLASSIFICATION_V3_RECONCILIATION.csv row 19)","AMBIGUOUS — the phrase text bundles a subject + a self-reported method+value claim into one gematria_words.phrase string (raw excel-import artifact); this pass did not isolate a 'clean subject' substring (that isolation is itself an interpretive/human step, not a mechanical one) so cannot certify the claim true or false — only that it disagrees with the engine's reading of the row as currently stored.",NEEDS_HUMAN_DECISION,"research_objects (candidate) — kind='observation', status='candidate', engine_verified=false (explicitly, not true), source='master_classification_v3', source_ref='gematria_words:47046bc3-5594-428d-b885-14d1bac91172', evidence=<this row's notes>, privacy_scope='public_candidate', owner_person_id=NULL","YES — before any engine_verified=true, before any promoted_node_id, before any gematria_words change","Live fn_ragil(phrase) run fresh in this pass on the phrase exactly as stored in gematria_words does not reproduce the number(s) claimed inline in the phrase text (the claim is embedded IN the raw excel-import phrase itself, e.g. '<subject> = <value> <method>' or '<subject> <value> <method>'). This means v3's own method_claim_status=engine_verified label is NOT corroborated by re-running the canonical engine against the row as it lives in gematria_words today — the label appears to reflect the v3 CSV-build pipeline's internal text-pattern match, not a fresh engine re-computation. gematria_words.is_verified=false for all 32/32 rows independently confirms none of these are flagged verified by the live system's own truth column."
53f0bb90-b536-4218-a3cc-b0fafb5d89e9,הסוף לאוכלי החינם ב = 363 רגיל !,numeric_word_construct,raw_unparsed_formula_dump,,606,NO_STORED_VALUE,False,,"NO (0/32 confirmed — none of the 796-row method_mention_type family exists in research_objects today, per MASTER_CLASSIFICATION_V3_RECONCILIATION.csv row 19)","AMBIGUOUS — the phrase text bundles a subject + a self-reported method+value claim into one gematria_words.phrase string (raw excel-import artifact); this pass did not isolate a 'clean subject' substring (that isolation is itself an interpretive/human step, not a mechanical one) so cannot certify the claim true or false — only that it disagrees with the engine's reading of the row as currently stored.",NEEDS_HUMAN_DECISION,"research_objects (candidate) — kind='observation', status='candidate', engine_verified=false (explicitly, not true), source='master_classification_v3', source_ref='gematria_words:53f0bb90-b536-4218-a3cc-b0fafb5d89e9', evidence=<this row's notes>, privacy_scope='public_candidate', owner_person_id=NULL","YES — before any engine_verified=true, before any promoted_node_id, before any gematria_words change","Live fn_ragil(phrase) run fresh in this pass on the phrase exactly as stored in gematria_words does not reproduce the number(s) claimed inline in the phrase text (the claim is embedded IN the raw excel-import phrase itself, e.g. '<subject> = <value> <method>' or '<subject> <value> <method>'). This means v3's own method_claim_status=engine_verified label is NOT corroborated by re-running the canonical engine against the row as it lives in gematria_words today — the label appears to reflect the v3 CSV-build pipeline's internal text-pattern match, not a fresh engine re-computation. gematria_words.is_verified=false for all 32/32 rows independently confirms none of these are flagged verified by the live system's own truth column."
64e959c9-7127-450d-8f0d-8dd3851bd2ea,הסוף לבתי הכלא בימינו = 767 רגיל !,numeric_word_construct,raw_unparsed_formula_dump,,1010,NO_STORED_VALUE,False,,"NO (0/32 confirmed — none of the 796-row method_mention_type family exists in research_objects today, per MASTER_CLASSIFICATION_V3_RECONCILIATION.csv row 19)","AMBIGUOUS — the phrase text bundles a subject + a self-reported method+value claim into one gematria_words.phrase string (raw excel-import artifact); this pass did not isolate a 'clean subject' substring (that isolation is itself an interpretive/human step, not a mechanical one) so cannot certify the claim true or false — only that it disagrees with the engine's reading of the row as currently stored.",NEEDS_HUMAN_DECISION,"research_objects (candidate) — kind='observation', status='candidate', engine_verified=false (explicitly, not true), source='master_classification_v3', source_ref='gematria_words:64e959c9-7127-450d-8f0d-8dd3851bd2ea', evidence=<this row's notes>, privacy_scope='public_candidate', owner_person_id=NULL","YES — before any engine_verified=true, before any promoted_node_id, before any gematria_words change","Live fn_ragil(phrase) run fresh in this pass on the phrase exactly as stored in gematria_words does not reproduce the number(s) claimed inline in the phrase text (the claim is embedded IN the raw excel-import phrase itself, e.g. '<subject> = <value> <method>' or '<subject> <value> <method>'). This means v3's own method_claim_status=engine_verified label is NOT corroborated by re-running the canonical engine against the row as it lives in gematria_words today — the label appears to reflect the v3 CSV-build pipeline's internal text-pattern match, not a fresh engine re-computation. gematria_words.is_verified=false for all 32/32 rows independently confirms none of these are flagged verified by the live system's own truth column."
