scenario_id,scenario,input_example,proposed_type,duplicate_check_result,alias_collision,computation_rule,auto_ceiling,zuriel_required_for_canonical_write,target_mechanism_on_approval,human_gate_required,gate_reason,notes
A1,"Genuinely new Hebrew word, clean provenance",a not-yet-seen Hebrew phrase from a new post,A. NEW_CANONICAL_WORD (no relation claim),no match in gematria_words,n/a,Hebrew -> live engine (or gw_enforce_engine trigger on insert),"gematria_words insert (this IS the canonical write, for this sub-case only)","NO -- pre-existing gematria_auto_registry_law, unmodified; registering a words own gematria is not an identity decision",gematria_words insert,NO,"clean provenance, no ambiguity, no relation claim -- matches gematria_auto_registry_law default path",the ONLY type in this matrix where AUTO reaches the canonical layer -- because there is no identity/link decision being made
A2,New word but source is unclear/anonymous,a phrase with no clear source attribution,A. NEW_CANONICAL_WORD (no relation claim),no match,n/a,Hebrew -> live engine,"gematria_words insert, contributor=null/unknown",NO -- same as A1,gematria_words insert,NO (but flagged),"provenance gap does not block computation, only limits future attribution","still auto -- weak provenance is a data-quality flag, not a merge/identity risk"
B1,דוד <-> דויד (major biblical figure),"""דויד"" proposed as a variant of ""דוד""",B. SPELLING_VARIANT,"""דויד"" already exists standalone in gematria_words (ragil=24); ""דוד"" separately exists (ragil=14)",none,"both already live-computed: דוד=14, דויד=24 -- genuinely different numbers, expected","HELD at idea/discussion, not even fast-tracked to validated_candidate","YES, always","word_aliases, alias_type=spelling_variant",YES,"person-name ambiguity (Sec.9) -- David is a major figure; even though the spelling pattern is textbook, the referent claim is held for review before it even reaches validated_candidate",see Spec Sec.10.1 -- full walkthrough
B2,צמח דוד <-> צמח דויד,"""צמח דויד"" proposed as a variant of ""צמח דוד""",B. SPELLING_VARIANT,both already exist standalone (152 / 162),none,both already live-computed,HELD at idea/discussion,"YES, always","word_aliases, alias_type=spelling_variant",YES,"same reasoning as B1, one level up (compound phrase)",see Spec Sec.10.2
B3,"Ordinary common-noun spelling variant, no identity stakes","a mundane word with a כתיב-מלא/חסר pair, no named referent",B. SPELLING_VARIANT,both exist standalone,none,"both live-computed, values differ as expected","validated_candidate (research_state=validated, status=pending) -- AUTO STOPS HERE","YES, always -- the word_aliases write itself is never automatic","word_aliases, alias_type=spelling_variant",NO to REACH validated_candidate; YES for the actual write,"no person-name ambiguity, no public-figure stakes, strong textbook spelling-class evidence -- qualifies for unattended pre-validation, but NOT for the canonical write itself","GATE-CORRECTED: previously this row said the write itself was automatic -- it is not. Only the PRE-VALIDATION is unattended; B1/B2 differ only in being held even earlier (before validated_candidate), not in whether Zuriel is ultimately required"
C1,משיח <-> Messiah,"""Messiah"" proposed as transliteration of ""משיח""",C. TRANSLITERATION,already exists as a language_bridge node (live),none,"Hebrew side already computed (רגיל=358); English side SKIPPED, no canonical method for Latin script",validated_candidate -- AUTO STOPS HERE,"YES, always",language_bridge node + 2 edges,NO to REACH validated_candidate; YES for the actual write,"unambiguous phonetic match, target already canonical, no competing claim -- pre-validates cleanly, but the language_bridge write is Zuriel-only",see Spec Sec.10.3 -- GATE-CORRECTED from a prior version that let this auto-insert
C2,משיח <-> мессия (Russian),"""мессия"" proposed as transliteration of ""משיח""",C. TRANSLITERATION,already exists (live),none,"non-Hebrew, skipped",validated_candidate -- AUTO STOPS HERE,"YES, always",language_bridge node + 2 edges,NO to REACH validated_candidate; YES for the actual write,"same as C1, script-agnostic -- proves N-language fan-out needs no new logic per language, INCLUDING the gate itself","reuses the identical entity node ""משיח"" as C1 -- one identity, multiple bridges, same gate either way"
C3,Ambiguous phonetic match (could plausibly transliterate 2 different Hebrew words),a foreign string whose sound is close to two unrelated Hebrew words,C. TRANSLITERATION (contested),near-match to 2+ existing Hebrew phrases,possible,"non-Hebrew, skipped","HELD at idea/discussion -- cannot even pre-validate, target is ambiguous","YES, always",language_bridge node (pending which target),YES,"ambiguous target -- machine cannot pick which Hebrew word is meant, per Sec.5 no similarity-only decisions",a real failure mode this matrix must cover even without a live example on hand
D1,סוד <-> secret,"""secret"" proposed as translation of ""סוד""",D. TRANSLATION,"COLLISION: alias already exists via word_aliases (translation, lowercase) AND separately via language_bridge (shared_value, capitalized)","yes -- two mechanisms, same underlying claim, not cross-checked today",Hebrew side computed (רגיל=70); English side skipped,HELD -- cannot pre-validate a contested/duplicated claim,"YES, always (retroactively, to reconcile)","EITHER word_aliases OR language_bridge -- currently BOTH, inconsistently -- reconciliation is itself the Zuriel decision needed",YES,"Sec.9: translation vs shared_value ambiguity -- this live pair shows exactly why the distinction must be human-confirmed, not inferred",see Spec Sec.10.4 -- this design would have caught the duplication at step [2] if applied at original intake time
D2,נצחון <-> victory (weak/interpretive evidence),"""victory"" proposed as translation of ""נצחון""",D. TRANSLATION,"already exists (live), evidence_level=interpretive",none,Hebrew side computed (רגיל=204); English side skipped,HELD -- weak evidence tier does not pre-validate,"YES, always","language_bridge node, evidence_level=interpretive",YES,"Sec.9: translation vs shared_value ambiguity -- the models own ""interpretive"" evidence tier is exactly the honesty signal that should route to a human",a real case where evidence exists but is admittedly weak -- kept as unverified/interpretive rather than silently upgraded
