decision_id,title,what_it_does,risk,evidence,file_location,recommendation,status
A,Registry correction — 6 dormant SQL functions,"UPDATE gematria_methods.function/active for הכפלה, הכפלה גדולה, מילוי דמילוי, ריבוע גדול (make registry match already-running production behavior) + מסתתר גדול, מילוי דמילוי גדול (make already-built+verified SQL functions dispatchable on demand, no storage change)",near-zero — computes zero new values; 4 of 6 only describe what gw_enforce_engine already does every day; 2 of 6 only enable read-on-demand,All 6 SQL functions exist live and were spot-verified this pass against locked nodes-rule examples (see LIVE_STATUS.csv rows 14/16/17/18/19/20),supabase/migrations/20260822_HUMAN_GATE_registry_decisions_DO_NOT_APPLY_WITHOUT_ZURIEL.sql (Decision A block),"Approve — lowest-risk item in this pack; fixes real under-reporting without changing anything a user sees today. ZURIEL DECISION (22.8, Human-Gate Part 1): APPROVED as-is, no caveats stated. Ready for Methods Build to execute the prepared migration block — not applied by this docs-only pass.",ZURIEL_APPROVED_NOT_YET_APPLIED
B,in_engine bookkeeping fix,"Set in_engine=true for אטבח, מילוי בלבד, מסתתר גדול (registry flag currently says false though gematria.js implements all three)",zero — in_engine is not read by fn_all_methods_full or the new fn_method_profile,Verified via direct read of src/lib/gematria.js METHODS/DEPTH_METHODS,supabase/migrations/20260822_HUMAN_GATE_registry_decisions_DO_NOT_APPLY_WITHOUT_ZURIEL.sql (Decision B block),"Approve — pure bookkeeping. ZURIEL DECISION (22.8): APPROVED as-is, no caveats stated. Ready for Methods Build to execute — not applied by this docs-only pass.",ZURIEL_APPROVED_NOT_YET_APPLIED
C,Wire משולש מילה / משולש הפוך (+ optional משולש מדרגות) to new SQL functions,"Point gematria_methods.function at triangle_word_calc / triangle_reverse_calc (from the new prepared migration), leaving active=false so nothing changes automatically",low — requires applying the companion 'prepared' function file first; changes nothing else,Functions written+verified this pass via read-only SELECT (not yet live). JS side already verified 25.7.2026 (work_log 189a892b) and live-dispatched in the UI today via DEPTH_METHODS,supabase/migrations/20260822_gematria_triangle_word_functions_prepared.sql + ...HUMAN_GATE...sql (Decision C block),"Approve if D is also intended — C alone is inert (function set but active still false). ZURIEL DECISION (22.8): APPROVED (D is also APPROVED below, so C is no longer inert). Ready for Methods Build to execute C and D together — not applied by this docs-only pass.",ZURIEL_APPROVED_NOT_YET_APPLIED
D,Activate משולש מילה / משולש הפוך for on-demand dispatch,"Set active=true — this is the ONLY step in this pack that makes a genuinely new method answerable via fn_all_methods_full/fn_method_profile. Does NOT add them to gw_enforce_engine's stored/auto-calc column list — that still needs a schema decision (new columns), separately gated.","medium (product decision, not a correctness risk) — this is precisely the step orchestrator rail #4 reserves for explicit Zuriel approval","Same as C — deterministic, JS-verified, already displayed in the UI (calculator/number drawer) as of 25.7.2026",...HUMAN_GATE...sql (Decision D block),"Zuriel's call — the underlying math is not in question, only whether these become part of the ""known/answerable methods"" surface today. ZURIEL DECISION (22.8): APPROVED. Verbatim: ""משולש מילה + משולש מילה הפוך are intended to become approved/active dispatchable methods, subject to the already verified deterministic definitions. They are also intended to participate in the future automatic Full Method Profile for approved corpus expressions."" Not applied by this docs-only pass — Methods Build executes the prepared migration (activates dispatch) and separately wires Full Method Profile participation (RESEARCH_DNA_V1_FOUNDATION_CONTRACT.md §10/§11). Orchestrator's proposed access/tier treatment for D: see this pass's final report — recommendation only, awaiting ZURIEL approval, not decided here.",ZURIEL_APPROVED_NOT_YET_APPLIED
E,Composite Research Transform catalog rows,"INSERT 4 new gematria_methods rows with category='composite' (new category value) for רגיל+מילוי, רגיל+מסתתר, רגיל+משולש, משולש מילה+משולש הפוך. required_entitlement proposed as premium/deep_research per Zuriel's stated default intent — NOT a final tier decision.","low (additive rows only; function/db_column left NULL — no new SQL, composites compute client-side from src/lib/research/compositeMethods.js)","src/lib/research/compositeMethods.js written+tested this pass (86/86 regression assertions pass, incl. composite-specific checks that they never duplicate atomic math)",...HUMAN_GATE...sql (Decision E block) + src/lib/research/compositeMethods.js,"Approve the 4 composites' existence; separately confirm/adjust the proposed access tiers (premium vs deep_research) per GEMATRIA_METHODS_COMPOSITE_CONTRACT.md. ZURIEL DECISION (22.8): APPROVED FOR EXISTENCE — רגיל+מילוי, רגיל+מסתתר, רגיל+משולש, משולש מילה+משולש מילה הפוך are Composite Research Transforms, not atomic methods. Verbatim: ""Do not canonically bind composite computation to client-side JS. They must derive from canonical atomic outputs; execution location remains an implementation decision."" Final access/tier assignment remains PENDING per Zuriel's own words (""Final access/tier assignment remains pending""). Orchestrator's proposed tier treatment for E: see this pass's final report and RESEARCH_DNA_V1_FOUNDATION_CONTRACT.md §26 — recommendation only, awaiting ZURIEL approval, not decided here. Not applied by this docs-only pass.",ZURIEL_APPROVED_EXISTENCE_TIER_PENDING
F,Fix אטבח dispatch bug (fn_atbach vs fn_atbach_maharshal),"Point gematria_methods.function at fn_atbach_maharshal instead of fn_atbach for method_key='אטבח' — OR alternatively correct gematria.js's ATBACH_L map to match fn_atbach instead. Either direction is Zuriel's call; this is a content/definition decision (""which cipher is the real אטבח""), not a code bug this agent can silently resolve.","medium — this is a currently-ACTIVE, currently-dispatchable method returning a value for final-letter words that disagrees with what the UI shows",Reproduced live: fn_atbach('יום משיח')=696 vs fn_atbach_maharshal('יום משיח')=506=JS ATBACH_L('יום משיח'). No locked nodes rule exists for either variant to arbitrate.,...HUMAN_GATE...sql (Decision F block),"Needs Zuriel's definition call before either side is touched — flagged, not fixed. ZURIEL DECISION (22.8): HOLD. Verbatim: ""Do not change אטבח until the competing definitions/provenance are resolved."" Open — still needs Zuriel to state which cipher (fn_atbach vs fn_atbach_maharshal / JS ATBACH_L) is the real אטבח.",ZURIEL_HOLD
G,אי״ק בכ״ר — provide the cipher definition,No code/SQL change possible until Zuriel supplies the actual letter-substitution rule (or confirms an existing published source). Corpus has ~15 bare citations (value + label) but zero algorithmic definition.,"n/a — blocked on missing information, not a risk decision","Searched nodes rules, project_codex, and the full research-archive snapshot (era1-method-mentions, era2-methods-expansion) — no definition found anywhere",GEMATRIA_METHODS_LIVE_STATUS.csv (bottom rows),"Zuriel: please provide the transformation rule (letter map / algorithm) for אי״ק בכ״ר so it can move from 'known' to 'candidate' per method_lifecycle. ZURIEL DECISION (22.8): HOLD / DEFINITION RESEARCH REQUIRED. Verbatim: ""אי״ק בכ״ר remains discovered/unresolved until a deterministic definition is established and brought to ZURIEL Human-Gate."" Still awaiting the cipher definition from Zuriel — the request stands unanswered.",ZURIEL_HOLD_DEFINITION_REQUIRED
H,אח״ס בט״ע — provide the cipher definition,"Same situation as G — ~10 bare citations, no algorithmic definition found anywhere.","n/a — blocked on missing information, not a risk decision",Same search as G,GEMATRIA_METHODS_LIVE_STATUS.csv (bottom rows),"Zuriel: please provide the transformation rule for אח״ס בט״ע. ZURIEL DECISION (22.8): HOLD / DEFINITION RESEARCH REQUIRED. Verbatim: ""אח״ס בט״ע remains discovered/unresolved under the same rule."" Still awaiting the cipher definition from Zuriel — the request stands unanswered.",ZURIEL_HOLD_DEFINITION_REQUIRED
I,מילוי גדול (row 24) — verify before activating,"fn_miluy_gadol exists live (added 2026-08-20) but has no JS mirror, no locked nodes rule, and no verified_examples anywhere. Recommend Zuriel confirm a worked example (word + expected value) before this is treated as a validated method, let alone Human-Gated toward active.","n/a — verification gap, not yet a go/no-go decision","pg_get_functiondef read; no corresponding definition/rule/verified example found in nodes, project_codex, or research archive",LIVE_STATUS.csv row 24,"Zuriel: is there a worked example for מילוי גדול to verify fn_miluy_gadol against? ZURIEL DECISION (22.8): HOLD. Verbatim: ""מילוי גדול must not be activated until a worked example independently verifies the live function."" Still awaiting a worked example (word + expected value) from Zuriel — the request stands unanswered.",ZURIEL_HOLD_VERIFICATION_REQUIRED
J,Storage/auto-calc for משולש מילה / משולש הפוך (schema decision),"If Zuriel wants these two methods stored per-word (like ragil/kadmi/etc.) rather than dispatch-on-demand only, gematria_words needs 2 new columns and gw_enforce_engine's hardcoded 14-column list needs to grow to 16 (and bidim_sync likewise). This is a genuine schema migration — explicitly out of scope this pass per orchestrator rail #3.","n/a — deferred, not decided",PLAN.md §6 discusses the technical shape,"Not written this pass (no migration file exists for this — intentionally, per rail #3)","IMPLEMENTATION DECISION REQUIRED — Zuriel to decide dispatch-only vs. also-stored before any schema work begins. ZURIEL DECISION (22.8): DECIDED — NO NEW gematria_words COLUMNS NOW. Verbatim: ""Preserve the existing 14 method columns as Legacy Baseline. New approved methods do not automatically receive physical columns. משולש מילה / משולש מילה הפוך must still be capable of automatic calculation, Full Method Profile, searchable/indexable representation, Deep Cross and Research Trace without requiring new gematria_words columns. Canonical principle: Calculation ≠ Storage ≠ Indexing ≠ Display ≠ Access. Storage location must never limit research capability."" This closes the dispatch-only-vs-stored question for now: dispatch-only, no schema migration. See METHOD STORAGE LAW, RESEARCH_DNA_V1_FOUNDATION_CONTRACT.md §26.1.",ZURIEL_DECIDED_NO_NEW_COLUMNS
