phrase,source,verified,ragil,detected_number_words,parsed_numeric_sequence,parsed_numeric_value,corpus_role,world_theme,provenance,confidence,category
אלף,auto:תיעוד אירועים wp16294,True,111,אלף,,1000,numeric_word_construct,,שרשרת: [111] | source=auto:תיעוד אירועים wp16294,high,numeric_quantity
עשרים,auto:תיעוד אירועים wp16571,True,620,עשרים,,20,numeric_word_construct,,שרשרת: [620] | source=auto:תיעוד אירועים wp16571 | vip_source=OPOC1 OPOC1,high,numeric_quantity
שבעים וחמש,auto:תיעוד אירועים wp16571,True,776,"חמש, שבעים",,75,numeric_word_construct,,שרשרת: [776] | source=auto:תיעוד אירועים wp16571,high,numeric_quantity
שלושים ושלושה,auto:תיעוד אירועים wp16571,True,1333,"שלושה, שלושים",,33,numeric_word_construct,,שרשרת: [1333] | source=auto:תיעוד אירועים wp16571,high,numeric_quantity
אלף ארבעים וארבע,auto:תיעוד אירועים wp19647,True,713,"אלף, ארבע, ארבעים",,1044,numeric_word_construct,,שרשרת: [713] | source=auto:תיעוד אירועים wp19647,high,numeric_quantity
שבעים חמש,auto:תיעוד אירועים wp27754,True,770,"חמש, שבעים",,75,numeric_word_construct,,שרשרת: [770] | source=auto:תיעוד אירועים wp27754,medium,numeric_quantity
שבע מאות,auto:תיעוד אירועים wp32852,True,819,"מאות, שבע",,700,numeric_word_construct,,שרשרת: [819] | source=auto:תיעוד אירועים wp32852,high,numeric_quantity
מאה ארבעים ושמונה,auto:תיעוד אירועים wp9298,True,776,"ארבעים, מאה, שמונה",,148,numeric_word_construct,,שרשרת: [776] | source=auto:תיעוד אירועים wp9298,high,numeric_quantity
אלף חמש מאות ושש,excel_import,True,1512,"אלף, חמש, מאות, שש",,1506,numeric_word_construct,,משולש מילוי דמילוי 4530 | source=excel_import,high,numeric_quantity
אלף שלש מאות שלשים וחמש,excel_import,False,2222,"אלף, חמש, מאות, שלש, שלשים",,1335,numeric_word_construct,,מסתתר 271 | source=excel_import,high,numeric_quantity
אלף שמונה מאות עשרים,excel_import,True,1579,"אלף, מאות, עשרים, שמונה",,1820,numeric_word_construct,1820 (site core number) [spelled-value match],1579 | source=excel_import,high,numeric_quantity
אלפיים וחמש עשרה,excel_import,True,1100,"אלפיים, חמש, עשרה",,2015,numeric_word_construct,,אלפיים וחמש עשרה | source=excel_import,high,numeric_quantity
