id,original_phrase,numeric_expression,parse_type,parsed_number,parse_confidence,roundtrip_status,gematria_values,self_numeric_hit,cross_research_hits,year_overlap,method_claim_overlap,target_overlap,generated_existing_match,ambiguity_reason,special_flags,source,category_prior,research_score
3,שבעים וחמש,"חמש, שבעים",B_cardinal_number,75,high,exact_roundtrip,776,False,anchor:776,False,,strong_number_source:75;strong_number_target:776,75,,A_words_denote:75;B_gematria_hits:776,auto:תיעוד אירועים wp16571,numeric_quantity,155
8,מאה ארבעים ושמונה,"ארבעים, מאה, שמונה",B_cardinal_number,148,high,exact_roundtrip,776,False,anchor:776,False,,strong_number_source:148;strong_number_target:776,148,,A_words_denote:148;B_gematria_hits:776,auto:תיעוד אירועים wp9298,numeric_quantity,155
52,תשעים,תשעים,B_cardinal_number,90,high,exact_roundtrip,820,False,,False,,strong_number_source:90,90,,A_words_denote:90,promoted:raw_docx_v2,numeric_quantity,115
64,שבע שבע שש,"שבע, שש",A_digit_sequence,776,high,exact_roundtrip,1344,False,,False,,strong_number_source:776,776,,A_words_denote:776,excel_import,numeric_sequence,115
67,שש ארבע ארבע,"ארבע, שש",A_digit_sequence,644,high,exact_roundtrip,1146,False,,False,,strong_number_source:644,644,,A_words_denote:644,excel_import,numeric_sequence,115
55,אחת אחת אפס אפס,"אחת, אפס",A_digit_sequence,1100,high,alternate_valid_form,1100,True,,False,,,,,,auto:תיעוד אירועים wp6463,numeric_sequence,100
12,אלפיים וחמש עשרה,"אלפיים, חמש, עשרה",D_year_expression,2015,high,exact_roundtrip,1100,False,,True,,,2015,,,excel_import,numeric_quantity,85
15,חמש מאות שלושים ושלוש,"חמש, מאות, שלוש, שלושים",B_cardinal_number,533,high,exact_roundtrip,2123,False,,False,,,533,,,excel_import,numeric_quantity,85
21,שלוש מאות חמישים ושמונה,"חמישים, מאות, שלוש, שמונה",B_cardinal_number,358,high,exact_roundtrip,1898,False,,False,,,358,,,excel_import,numeric_quantity,85
24,ארבע,ארבע,B_cardinal_number,4,high,exact_roundtrip,273,False,,False,,,4,,,promoted:raw_docx_v2,numeric_quantity,85
29,מאה,מאה,B_cardinal_number,100,high,exact_roundtrip,46,False,,False,,,100,,,promoted:raw_docx_v2,numeric_quantity,85
1,אלף,אלף,B_cardinal_number,1000,high,exact_roundtrip,111,False,anchor:111;research_interest:111,False,,strong_number_target:111,,,B_gematria_hits:111,auto:תיעוד אירועים wp16294,numeric_quantity,55
87,זמן השבע,שבע,E_mixed_numeric_phrase,7,medium,no_roundtrip,474,False,anchor:474;hub:474,False,,strong_number_target:474,,,B_gematria_hits:474,auto:תיעוד אירועים wp36007,mixed_numeric_phrase,50
128,אלף 12358,אלף,E_mixed_numeric_phrase,1000,medium,no_roundtrip,111,False,anchor:111;research_interest:111,False,,strong_number_target:111,,,B_gematria_hits:111,excel_import,mixed_numeric_phrase,50
2,עשרים,עשרים,B_cardinal_number,20,high,exact_roundtrip,620,False,research_interest:620,False,,strong_number_target:620,,,B_gematria_hits:620,auto:תיעוד אירועים wp16571,numeric_quantity,45
30,מאתיים,מאתיים,B_cardinal_number,200,high,exact_roundtrip,501,False,research_interest:501,False,,strong_number_target:501,,,B_gematria_hits:501,promoted:raw_docx_v2,numeric_quantity,45
70,אחת ארבע שבע ושתיים,"אחת, ארבע, שבע, שתיים",A_digit_sequence,1472,high,alternate_valid_form,1820,False,anchor:1820,False,,,,,B_gematria_hits:1820,sod1820,numeric_sequence,40
75,קרית שמונה,שמונה,E_mixed_numeric_phrase,8,medium,no_roundtrip,1111,False,research_interest:1111,False,,strong_number_target:1111,,,B_gematria_hits:1111,auto:תיעוד אירועים wp19498,mixed_numeric_phrase,40
78,ארבע עשרה תינוקות,"ארבע, עשרה",E_mixed_numeric_phrase,,low,no_roundtrip,1820,False,anchor:1820,False,,,,multi_token_embedded_phrase_no_confident_single_parse,B_gematria_hits:1820,auto:תיעוד אירועים wp27374,mixed_numeric_phrase,40
82,עם אחד,אחד,F_ambiguous,,,no_roundtrip,123,False,anchor:123,False,,strong_number_target:123,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),B_gematria_hits:123,auto:תיעוד אירועים wp34138,mixed_numeric_phrase,40
89,שלש מאות כסף,"מאות, שלש",E_mixed_numeric_phrase,,low,no_roundtrip,1237,False,anchor:1237,False,,strong_number_target:1237,,multi_token_embedded_phrase_no_confident_single_parse,B_gematria_hits:1237,auto:תיעוד אירועים wp36103,mixed_numeric_phrase,40
90,חמש שתים אחד,"חמש, שתים, אחד",A_digit_sequence,521,high,alternate_valid_form,1111,False,research_interest:1111,False,,strong_number_target:1111,,,B_gematria_hits:1111,auto:תיעוד אירועים wp36110,numeric_sequence,40
94,ההסכם שלשים לשישי יכשל,שלשים,E_mixed_numeric_phrase,30,medium,no_roundtrip,1820,False,anchor:1820,False,,,,,B_gematria_hits:1820,auto:תיעוד אירועים wp4561,mixed_numeric_phrase,40
101,את הכבש אחד תעשה בבקר,אחד,F_ambiguous,,,no_roundtrip,1820,False,anchor:1820,False,,,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),B_gematria_hits:1820,contribution:צבי (OPOC),mixed_numeric_phrase,40
102,והיה יום אחד,אחד,F_ambiguous,,,no_roundtrip,95,False,research_interest:95,False,,strong_number_target:95,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),B_gematria_hits:95,contribution:צבי (OPOC),mixed_numeric_phrase,40
115,אחד אחד שתים (יחוד הויה אלוה,"אחד, אחד, שתים",E_mixed_numeric_phrase,,low,no_roundtrip,776,False,anchor:776,False,,strong_number_target:776,,multi_token_embedded_phrase_no_confident_single_parse,B_gematria_hits:776,excel_import,mixed_numeric_phrase,40
123,אחת ארבע שבע ושתיים = 1820 (1472),"אחת, ארבע, שבע, שתיים",E_mixed_numeric_phrase,,low,no_roundtrip,1820,False,anchor:1820,False,,,,multi_token_embedded_phrase_no_confident_single_parse,B_gematria_hits:1820,excel_import,mixed_numeric_phrase,40
136,אמונה באל אחד,אחד,F_ambiguous,,,no_roundtrip,148,False,anchor:148,False,,strong_number_target:148,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),B_gematria_hits:148,excel_import,mixed_numeric_phrase,40
