source_number,source_pool,generated_expression,generation_type,method,target_number,hit_types,target_is_anchor,corpus_support,corpus_phrase_count,node_support,convergence_support,package_support,independent_evidence_count,mechanical_duplicate,mechanical_reason,evidence_class
90,research_interest,תשעים,cardinal_wording,אלבם,337,ORDINARY_POOL,False,True,31,True,True,True,3,False,,E
90,research_interest,תשעים,cardinal_wording,מסתתר,420,ORDINARY_POOL,False,True,24,True,True,True,3,False,,E
90,research_interest,תשע אפס,digit_read,אלבם,75,ANCHOR,True,True,22,True,True,True,3,False,,E
90,research_interest,תשע אפס,digit_read,אתבש,424,ORDINARY_POOL,False,True,42,True,False,True,2,False,,E
96,research_interest,תשע שש,digit_read,אטבח,220,ORDINARY_POOL,False,True,24,True,True,True,3,True,digit_permutation_partner=69,MECHANICAL_DUPLICATE
96,research_interest,תשע שש,digit_read,אתבש,14,ANCHOR,True,True,14,True,False,False,1,True,digit_permutation_partner=69,MECHANICAL_DUPLICATE
100,research_interest,מאה,cardinal_wording,אתבש,500,ORDINARY_POOL,False,True,25,True,True,True,3,False,,E
100,research_interest,מאה,cardinal_wording,ריבוע,127,ANCHOR,True,True,5,True,False,False,1,False,,B
100,research_interest,אחד אפס אפס,digit_read,גדול,295,ORDINARY_POOL,False,True,18,True,False,False,1,False,,B
100,research_interest,אחד אפס אפס,digit_read,רגיל,295,ORDINARY_POOL,False,True,18,True,False,False,1,True,method_equiv_with=גדול,MECHANICAL_DUPLICATE
119,research_interest,מאה ותשע עשרה,cardinal_wording,אטבח,363,ORDINARY_POOL,False,True,25,True,True,True,3,False,,E
119,research_interest,אחד אחד תשע,digit_read,מסתתר,352,ORDINARY_POOL,False,True,12,False,True,True,3,False,,E
119,research_interest,אחד אחד תשע,digit_read,אותיות אחרי,513,ORDINARY_POOL,False,True,19,False,True,True,3,False,,E
170,research_interest,מאה ושבעים,cardinal_wording,אטבח,656,ORDINARY_POOL,False,True,13,False,True,True,3,False,,E
170,research_interest,מאה ושבעים,cardinal_wording,אלבם,539,ORDINARY_POOL,False,True,2,True,False,False,1,False,,B
170,research_interest,מאה ושבעים,cardinal_wording,רגיל,474,ANCHOR,True,True,31,True,False,False,1,False,,B
170,research_interest,אחד שבע אפס,digit_read,גדול,526,ORDINARY_POOL,False,True,22,True,True,True,3,False,,E
170,research_interest,אחד שבע אפס,digit_read,רגיל,526,ORDINARY_POOL,False,True,22,True,True,True,3,True,method_equiv_with=גדול,MECHANICAL_DUPLICATE
266,research_interest,שתיים שש שש,digit_read,מסתתר,520,ORDINARY_POOL,False,True,26,True,True,True,3,True,digit_permutation_partner=662,MECHANICAL_DUPLICATE
306,research_interest,שלוש מאות ושש,cardinal_wording,אלבם,333,ANCHOR,True,True,22,True,True,True,3,True,digit_permutation_partner=603,MECHANICAL_DUPLICATE
310,research_interest,שלוש מאות ועשר,cardinal_wording,אטבח,451,ORDINARY_POOL,False,True,10,True,False,False,1,False,,B
