artifact_name,task_or_phase,file_path,exists_now,row_count,what_it_contains,status,already_persistent_where,scratchpad_only,canonical_or_candidate,human_gate_required,recommended_existing_destination,risk_if_session_closes,notes
gematria_words_high_trust_candidates.csv,Corpus DNA — WhatsApp intake (era 1),"scratchpad (session-local, ephemeral)/gematria_words_high_trust_candidates.csv",YES,293,High-trust candidate gematria rows extracted from WhatsApp corpus for promotion review,SCRATCHPAD_ONLY,none found,YES,candidate,YES,"research_objects (kind=observation/hypothesis, status=candidate) OR research_contributions (intent=מקור)",List of which corpus rows were judged high-trust is lost; would need re-classification,Feeds into later WA classification chain below
gematria_words_whatsapp_unconnected.csv,Corpus DNA — WhatsApp intake (era 1),"scratchpad (session-local, ephemeral)/gematria_words_whatsapp_unconnected.csv",YES,254,WhatsApp-sourced gematria rows not yet linked to any node/entity,SCRATCHPAD_ONLY,none found,YES,candidate,YES,"research_contributions (intent=מקור, origin=broadcast)",Unconnected-row list lost,
gematria_words_wa_classified.csv,Corpus DNA — WhatsApp intake (era 1),"scratchpad (session-local, ephemeral)/gematria_words_wa_classified.csv",YES,254,Classified version of the WhatsApp-unconnected set,SCRATCHPAD_ONLY,none found,YES,candidate,YES,research_contributions,Classification labels lost,
gematria_words_whatsapp_full_audit.csv,Corpus DNA — WhatsApp intake (era 1),"scratchpad (session-local, ephemeral)/gematria_words_whatsapp_full_audit.csv",YES,330,Full audit trail of WhatsApp-sourced gematria rows,SCRATCHPAD_ONLY,none found,YES,candidate,YES,research_contributions,Audit trail lost (though underlying gematria_words rows themselves DO already exist live -- only the AUDIT/classification layer is at risk),
classification_canonical_core.csv / classification_raw_docx.csv / classification_contrib_events.csv / classification_excel_import.csv / classification_messianic_cluster.csv / classification_low_confidence_resolved.csv,Corpus DNA — component classification batches (era 1),"scratchpad (session-local, ephemeral)/classification_*.csv (6 files)",YES,"~2,051 + ~2,024 + ~13,331 (docx, largest) + ~12,325 (excel) + ~370 + ~3,782 rows across the 6 files",Six source-segmented classification passes over the corpus (by provenance: canonical-core / raw-docx-import / contribution-events / excel-import / messianic-cluster / low-confidence-resolved) that were later merged into MASTER_CLASSIFICATION.csv,SUPERSEDED,none -- fully absorbed into MASTER_CLASSIFICATION_v3.csv,YES,candidate (intermediate),NO (superseded by v3),none needed -- superseded; only v3 needs preserving,Low marginal risk -- content lives on in v3; useful only for re-deriving v3 if v3 itself were lost,Kept for provenance-of-provenance; not a priority to persist separately
MASTER_CLASSIFICATION.csv (v1),Corpus DNA — Master Classification (era 1),"scratchpad (session-local, ephemeral)/MASTER_CLASSIFICATION.csv",YES,15433,"First merge pass of all 6 classification batches, one row per gematria_words.id",SUPERSEDED,none,YES,candidate,NO,none needed -- superseded by v3,Low -- superseded,
MASTER_CLASSIFICATION_v2.csv,Corpus DNA — Master Classification (era 1),"scratchpad (session-local, ephemeral)/MASTER_CLASSIFICATION_v2.csv",YES,15433,Second revision after Human-Gate conflict resolution,SUPERSEDED,none,YES,candidate,NO,none needed -- superseded by v3,Low -- superseded,
MASTER_CLASSIFICATION_v3.csv,Corpus DNA — Master Classification FINAL (era 1),"scratchpad (session-local, ephemeral)/MASTER_CLASSIFICATION_v3.csv",YES,15433,"THE final, full-corpus analytical classification: one row per gematria_words.id (all 15,433) with corpus_role, world_theme, research_package_cluster/availability/sensitivity, method_mention_type/claim_status/reason, numeric_word_category/value, year_hebrew/gregorian, normalization_state, duplicate_flag, garbage_broken_flag, ambiguity_unresolved_flag. This is the single largest research artifact of the entire session.",SCRATCHPAD_ONLY,"NONE -- live-verified: gematria_words.category live values (מאגר_ערכים/כללי/משיח/יהוה...) are the OLD legacy WordPress-style categories, NOT this classification's schema (corpus_role/world_theme/etc). gematria_words.dna_status IS populated live (promoted/appendix/dna/core/null) but this is a DIFFERENT, single-column, pre-existing classification -- NOT derived from this session's MASTER_CLASSIFICATION_v3 work (schemas do not match; dna_status predates this session). CONFIRMED: v3's rich per-row analysis was never written back.",YES,"candidate (extensive, unreviewed)","YES -- explicitly, at scale","NO SAFE EXISTING SINGLE-COLUMN HOME for the full richness (28 analytical columns). Options: (a) new gematria_words columns via migration (schema change -- needs approval, out of scope for this audit), or (b) one research_contributions row per gematria_words.id summarizing the classification (large but non-schema-changing), or (c) keep as a versioned file committed into the repo (docs/research-archive/) -- durable without touching DB at all.","HIGH -- this is the single highest-value, highest-effort artifact in the whole session and has ZERO live-DB footprint today","Cross-referenced/reused by METHOD_MENTIONS_CLASSIFIED.csv, METHOD_CLAIMS_PHASE3.csv, numeric_word_phrases_audit.csv, year_time_audit.csv (all four appear to derive from or align with this classification pass)"
HUMAN_GATE_conflicts.csv,Corpus DNA — Human-Gate (era 1),"scratchpad (session-local, ephemeral)/HUMAN_GATE_conflicts.csv",YES,120,"120 classification conflicts surfaced for human review (work_log shows ""120 קונפליקטים נסגרו — 109 דטרמיניסטי + 11 החלטת-צוריאל"", status=completed)",PARTIALLY_PERSISTED,"work_log memo records the COUNT and resolution method, not the per-conflict detail",PARTIAL,resolved (per work_log),NO -- work_log indicates already resolved,"file already effectively closed; if the 11 Zuriel-decisions need to be individually re-findable, they are only in this CSV today","MEDIUM -- the resolution counts are in work_log, but which 11 rows and how each was decided is only in this file",
HUMAN_GATE_ambiguous_enrichment.csv,Corpus DNA — Human-Gate (era 1),"scratchpad (session-local, ephemeral)/HUMAN_GATE_ambiguous_enrichment.csv",YES,62,"62 ambiguous enrichment rows for human review (referenced as ""62 ambiguous rows"" lesson reused later in Number-Language Phase 5)",SCRATCHPAD_ONLY,none,YES,candidate,YES,research_contributions,MEDIUM -- this exact 62-row set was cited as methodological precedent in a later Phase (Number-Language Phase 5s false-positive rules),
HUMAN_GATE_FINAL.csv,Corpus DNA — Closing Sequence (era 1),"scratchpad (session-local, ephemeral)/HUMAN_GATE_FINAL.csv",YES,4,Final closing Human-Gate summary for the Corpus DNA arc (work_log status=closed_awaiting_human_gate),PARTIALLY_PERSISTED,work_log memo,PARTIAL,awaiting Zuriel,YES,already small enough to fold into a codex/work_log entry verbatim if desired,"LOW (small file, 4 rows)",
CORPUS_DNA_GAPS.csv,Corpus DNA — Closing Sequence (era 1),"scratchpad (session-local, ephemeral)/CORPUS_DNA_GAPS.csv",YES,10,Identified gaps in the Corpus DNA classification effort,SCRATCHPAD_ONLY,none,YES,findings,NO,small enough to fold into a codex entry,LOW (small file),
method_mentions_enrichment.csv,Method Mentions — Enrichment Audit (era 1),"scratchpad (session-local, ephemeral)/method_mentions_enrichment.csv",YES,796,"796-row enrichment audit of method-instruction mentions in the corpus (work_log: ""Method Mentions Enrichment Audit — 796 שורות"")",SUPERSEDED,absorbed into METHOD_MENTIONS_CLASSIFIED.csv below,YES,candidate (intermediate),NO,"none needed, superseded",LOW -- superseded,
METHOD_MENTIONS_CLASSIFIED.csv,"Method Mentions Phase 2 (era 1) — REUSED live in era 2 (Number-Language Phase 5, Methods Expansion)","scratchpad (session-local, ephemeral)/METHOD_MENTIONS_CLASSIFIED.csv",YES,796,"797 rows: id, original_phrase, source, resolved_corpus_role, method_mention_type, n_distinct_canonical_methods, method_mentioned, canonical_method_id, research_expression, claimed_value, instruction_confidence, verification_state, has_engine_verified_mismatch/match, candidate_labels, temporal_markers",SCRATCHPAD_ONLY,"none -- work_log status=awaiting_human_review, no DB table holds this",YES,"candidate (extensive, unreviewed)",YES,"research_contributions (intent=gematria, one row per claim) OR research_objects (kind=hypothesis/fact per claimed_value)","HIGH -- actively reused as a SOURCE FILE by two later phases (Number-Language Phase 5s year/method cross-reference, Methods Expansion Phase 1s ר""ת/ס""ת/ישר-והפוך row extraction). Losing this breaks re-traceability of those downstream phases.",One of the 2-3 most load-bearing files in the whole session
METHOD_MENTIONS_HUMAN_GATE.csv,Method Mentions Phase 2 (era 1),"scratchpad (session-local, ephemeral)/METHOD_MENTIONS_HUMAN_GATE.csv",YES,240,240 method-mention rows flagged for Human-Gate review (issue_group column),SCRATCHPAD_ONLY,none,YES,candidate,YES,research_contributions,"HIGH -- awaiting_human_review per work_log, never reviewed",
METHOD_CANDIDATES_RESOLVED.csv,Method Mentions Phase 3 (era 1) — REUSED live as the seed of Methods Expansion Phase 1 (era 2),"scratchpad (session-local, ephemeral)/METHOD_CANDIDATES_RESOLVED.csv",YES,3,"3 historical method-name candidates (ר""ת/רת, ס""ת/סת, רגיל ישר והפוך) with occurrence_count, candidate_definition_status=insufficient_definition, confidence, reconstructed_definition attempt, evidence_note, source_phrases_sample, sources, categories",SCRATCHPAD_ONLY,none -- this IS the file Methods Expansion Phase 1 (era 2) started from and re-confirmed,YES,"candidate (status=insufficient_definition for all 3, unchanged through era 2)",YES,"gematria_methods is NOT the right home (per method_lifecycle rule, these never left candidate) -- research_objects (kind=hypothesis, status=candidate) is the correct existing structure","HIGH -- small file (3 rows) but the ONLY record of the ר""ת=644/צמח-דוד anchor-cluster finding and the live-engine test results from era 2 that reconfirmed it","Superseded in DETAIL (not status) by era-2s METHOD_EXPANSION_RESOLUTION.csv, which re-tested these same 3 candidates live and reached the same insufficient_definition/REMAIN_CANDIDATE conclusion with additional evidence"
METHOD_MISMATCH_PATTERNS.csv,Method Mentions Phase 3 (era 1),"scratchpad (session-local, ephemeral)/METHOD_MISMATCH_PATTERNS.csv",YES,225,225 rows of engine-verified-mismatch patterns between claimed and computed method values,SCRATCHPAD_ONLY,none,YES,findings,NO (informational),research_objects (kind=observation),MEDIUM,
