sort_order,method_key,display_label,category,db_column_registry,active_registry,in_engine_registry_flag,function_registry,js_implemented_gematria_js,sql_fn_exists_live,dispatchable_via_fn_all_methods_full,actually_stored_via_gw_enforce_engine_trigger,required_entitlement,drift_or_note
1,רגיל,רגיל,base,ragil,true,true,fn_ragil,yes,yes,yes,yes,public,none — fully consistent
2,מילוי,מילוי,base,miluy,true,true,fn_miluy,yes,yes,yes,yes,public,none — fully consistent
3,מסתתר,מסתתר,base,misratar,true,true,fn_misratar,yes,yes,yes,yes,public,none — fully consistent
4,קדמי,קדמי · משולש,base,kadmi,true,true,kadmi_calc,yes,yes,yes,yes,public,"none — display alias ""משולש"" per meshulash_kadmi_law, internal key unchanged"
5,ריבוע,ריבוע,base,ribua,true,true,fn_ribua,yes,yes,yes,yes,public,none — fully consistent
6,גדול,גדול,base,gadol,true,true,fn_gadol,yes,yes,yes,yes,public,none — fully consistent
7,סידורי,סידורי,base,siduri,true,true,fn_siduri,yes,yes,yes,yes,public,none — fully consistent
8,אתבש,אתבש,base,atbash,true,true,atbash_calc,yes,yes,yes,yes,public,none — fully consistent
9,אלבם,אלבם,base,albam,true,true,fn_albam,yes,yes,yes,yes,public,"none — verified live fn_albam('רב')=49 matches JS and albam_def"
10,אטבח,אטבח,base,(none),true,false,fn_atbach,yes,"yes (two variants: fn_atbach, fn_atbach_maharshal)",yes,no (no storage column),public,"DRIFT (HIGH VALUE — see HUMAN_GATE Decision F): registry dispatches fn_atbach, but JS ATBACH_L / fn_atbach_maharshal agree with each other and DISAGREE with fn_atbach on final letters (יום משיח: fn_atbach=696 vs JS/fn_atbach_maharshal=506). Also in_engine flag says false though JS implements this method (METHODS array)."
11,אותיות אחרי,אותיות אחרי,base,(none),true,true,fn_otiot_after,yes,yes,yes,no (no storage column),public,"none — verified live fn_otiot_after('רזיאל')=370 matches JS exactly"
12,אותיות לפני,אותיות לפני,base,(none),true,true,fn_otiot_before,yes,yes,yes,no (no storage column),public,none — dispatchable, not independently re-verified against JS this pass beyond spot value (recommend before relying on it for a published claim)
13,מילוי בלבד,מילוי בלבד,base,(none),false,false,(none),yes,no,no,no,public,"DRIFT (minor): in_engine=false but JS METHODS implements it (line 86). Not dispatchable — no SQL fn exists yet."
14,הכפלה,הכפלה,base,hakpala,false,true,(none in registry),yes,"yes (hakpala_calc — confirmed called by gw_enforce_engine)",no (registry active=false + function=null blocks fn_all_methods_full),yes — ALREADY computed+stored for every approved word today,public,"MAJOR DRIFT: registry says inactive/no-function, but production silently computes+stores this via the hardcoded gw_enforce_engine/bidim_sync trigger for every word right now. fn_all_methods_full under-reports it. See HUMAN_GATE Decision A."
15,משולש גדול,משולש גדול,depth,kadmi_gadol,true,true,kadmi_gadol_calc,yes,yes,yes,yes,public,none — fully consistent; verified live kadmi_gadol_calc('שובו בנים שובבים')=7760
16,מסתתר גדול,מסתתר גדול,depth,(none),false,false,(none in registry),yes,"yes (mistater_gadol_calc — verified live, matches JS mistaterGadol exactly on 3 examples)",no (registry not wired),no (no storage column),public,"DRIFT: fully-built, fully-verified SQL function exists (mistater_gadol_calc) and JS has it (DEPTH_METHODS) but the registry has never been pointed at it. Near-zero-risk to register (dispatch-only, no storage change). See HUMAN_GATE Decision A."
17,מילוי דמילוי,מילוי דמילוי,depth,miluy_demiluy,false,true,(none in registry),yes,"yes (miluy_demiluy_calc — confirmed called by gw_enforce_engine)",no (registry active=false + function=null blocks fn_all_methods_full),yes — ALREADY computed+stored for every approved word today,public,"MAJOR DRIFT — same pattern as הכפלה (row 14). See HUMAN_GATE Decision A."
18,מילוי דמילוי גדול,מילוי דמילוי גדול,depth,(none),false,false,(none in registry),yes,"yes (miluy_demiluy_gadol_calc — verified live, matches JS exactly: ירושלים=6770)",no (registry not wired),no (no storage column),public,"DRIFT: fully-built, fully-verified SQL function exists but unregistered — same pattern as מסתתר גדול. See HUMAN_GATE Decision A."
19,הכפלה גדולה,הכפלה גדולה,depth,hakpala_gadol,false,true,(none in registry),yes,"yes (hakpala_gadol_calc — confirmed called by gw_enforce_engine)",no (registry active=false + function=null blocks fn_all_methods_full),yes — ALREADY computed+stored for every approved word today,public,"MAJOR DRIFT — same pattern as הכפלה (row 14). See HUMAN_GATE Decision A."
20,ריבוע גדול,ריבוע גדול,depth,ribua_gadol,false,true,(none in registry),yes,"yes (ribua_gadol_calc — confirmed called by gw_enforce_engine)",no (registry active=false + function=null blocks fn_all_methods_full),yes — ALREADY computed+stored for every approved word today,public,"MAJOR DRIFT — same pattern as הכפלה (row 14). See HUMAN_GATE Decision A."
21,משולש מילה,משולש מילה,depth,(none),false,false,(none),yes — already live-dispatched client-side (DEPTH_METHODS, consumed by 12+ components incl. NumberDrawer/GematriaCalculator/BeitMidrashPage),"no live SQL fn — THIS PASS wrote triangle_word_calc, prepared but NOT applied","no — needs Human-Gate Decision C+D before dispatchable",no (no storage column; would need schema change — out of scope this pass),public,"CANDIDATE, ready for Human-Gate. Definition unambiguous (work_log 189a892b, 25.7.2026), deterministic, JS-verified (צוריאל=1432, צוריאל פולייס=4194), SQL mirror written+verified this pass via read-only query (not yet a live function). Explicitly named in task section 6."
22,משולש הפוך,משולש הפוך,depth,(none),false,false,(none),yes — already live-dispatched client-side (same components as row 21),"no live SQL fn — THIS PASS wrote triangle_reverse_calc, prepared but NOT applied","no — needs Human-Gate Decision C+D before dispatchable",no (no storage column),public,"CANDIDATE, ready for Human-Gate. Deterministic, JS-verified (צוריאל=927), SQL mirror written+verified this pass. Explicitly named in task section 6."
23,משולש מדרגות,משולש מדרגות,depth,(none),false,false,(none),yes — already live-dispatched client-side (same components as row 21),"no live SQL fn — THIS PASS wrote stair_triangle_calc, prepared but NOT applied","no — needs Human-Gate Decision C+D before dispatchable",no (no storage column),public,"CANDIDATE, same family as rows 21-22 but NOT explicitly named in task section 6 — included as a bonus since it was built in the same prior session (work_log b4ccb3d5, 25.7.2026) and is equally verified (משיח בן דויד=866)."
24,מילוי גדול,מילוי גדול,depth,(none),false,false,fn_miluy_gadol,no — NOT implemented in gematria.js at all (reverse gap),"yes (fn_miluy_gadol exists live, added 2026-08-20 per created_at)",no (active=false),no (no storage column),public,"DRIFT (reverse direction): SQL-only, no JS mirror, no locked nodes rule (no miluy_gadol_def) defining/verifying it, no verified_examples found anywhere. Its correctness is UNVERIFIED this pass — do not treat fn_miluy_gadol's output as ground truth without testing it against a Zuriel-confirmed example first. NEEDS_VERIFICATION before Human-Gate, not merely 'flip active'."
-,אי״ק בכ״ר,(not yet in registry),n/a,n/a,n/a,n/a,n/a,no,no,no,no,n/a,"NEEDS_HUMAN_DEFINITION. Appears only as a bare citation label in ~15 raw gematria_words.notes rows (source=excel_import, e.g. ""בצלם אלהים"" notes=""1692 - איק בכר - 1134""). No algorithmic letter-mapping/cipher table found anywhere in nodes rules, project_codex, or the research-archive snapshot (era1-method-mentions, era2-methods-expansion). Cannot advance past 'known' lifecycle stage (method_lifecycle rule: 'לא-שוחזר → עצור → אדם, אל תמציא') without Zuriel supplying the actual transformation rule."
-,אח״ס בט״ע,(not yet in registry),n/a,n/a,n/a,n/a,n/a,no,no,no,no,n/a,"NEEDS_HUMAN_DEFINITION. Same situation as אי״ק בכ״ר — ~10 raw citation rows (e.g. ""הגאולה בעתה"" notes=""...266 - אחס בטע""), no algorithmic definition found anywhere. Cannot advance without Zuriel."
