family_candidate_id,pattern,relation_class,confidence,why_zuriel_decision_changes_action,options_for_zuriel,current_default_if_no_decision
FAM-01,דוד ↔ דויד,spelling_variant,HIGH,If approved: a word_aliases row (alias_type=spelling_variant) gets created linking the two spellings of King David — enables cross-spelling search/display without merging gematria. If declined: nothing changes.,APPROVE spelling_variant link / DECLINE / DEFER,no link exists; both phrases remain independent rows exactly as today
FAM-02,צמח דוד ↔ צמח דויד,spelling_variant,HIGH,"Same as FAM-01, one level up (compound ""Branch of David"" phrase). A real decision — this is a named messianic-title phrase, not a generic word.",APPROVE spelling_variant link / DECLINE / DEFER,no link exists; both phrases remain independent
FAM-03,דוד ↔ דוד המלך,title_or_epithet,MEDIUM-HIGH (pattern) / LOW (identity),"Whether ""King David"" should ever be graph-linked to ""David"" as same-referent (NEVER as spelling_variant — that would be a modeling error this Phase explicitly guards against). No mechanism currently exists for a title/epithet relation at all — this is as much a scope question as an approval question.",APPROVE a NEW (non-spelling_variant) same-referent-candidate relation type / DECLINE any relation / DEFER pending a broader title/epithet design,no relation of any kind exists; the two phrases are fully independent
FAM-04,דוד ↔ בן דוד,relational_phrase,LOW-MEDIUM,Live evidence (world=אנשים vs world=גאולה tagging) suggests these are DIFFERENT referents (David the person vs. the Davidic-Messiah title) — recommendation is NO ACTION. Zuriel is the only one who can confirm this reading or correct it if the corpus intends something else.,CONFIRM different-referent reading (no relation) / ASSERT a specific non-identity relation (e.g. genealogical) / DEFER,"no relation exists; treated as two independent, unrelated entities, consistent with current world-tagging"
FAM-05,אהרן ↔ אהרון,spelling_variant,HIGH,"Newly-discovered (this pass) live spelling-variant pair for a major biblical figure (Aaron), parallel to FAM-01. ""אהרן"" is node-linked; ""אהרון"" is not.",APPROVE spelling_variant link / DECLINE / DEFER,no link exists
FAM-06,אליהו ↔ אליה,unresolved,LOW-MEDIUM (genuine ambiguity),"""אליה"" is both a plausible short form of Elijah AND the ordinary preposition ""to her."" Only Zuriel (or per-occurrence context this pass did not adjudicate) can say which reading applies where — a blanket rule would be wrong either way.",CONFIRM as short-form-of-Elijah in specific contexts / REJECT as unrelated / DEFER (leave ambiguous),no link exists; treated as ambiguous/unresolved
FAM-10,דוד ↔ דודי,unresolved,LOW-MEDIUM (genuine ambiguity),"""דודי"" (""my beloved/uncle"") is grammatically a different word from ""David"" — but if any corpus row actually intends it as a name-spelling, only Zuriel can confirm that reading per-occurrence.",CONFIRM specific occurrence(s) as name-intent / REJECT as unrelated (default) / DEFER,no link exists; treated as a different word from David
FAM-13,תהלים ↔ תהילים,spelling_variant,HIGH,"Both spellings ALREADY have independent node_ids in the live graph (two separate ""Psalms"" entity nodes) — this is the one family where a Zuriel decision also has to settle a live graph-duplication question (which node stays canonical), not just approve an alias.",APPROVE spelling_variant link + choose canonical node / DECLINE / DEFER,"both nodes remain live and independent, as today"
FAM-11,חשך ↔ חושך,spelling_variant,HIGH,"Same spelling_variant pattern as FAM-01/05/02 but for a common noun (""darkness"") rather than a proper name — included individually rather than folded into a blanket rule, since Zuriel may want a different bar for names vs. common nouns.",APPROVE spelling_variant link / DECLINE / DEFER / SET A GENERAL POLICY for common-noun HIGH-confidence pairs (would also cover FAM-12),no link exists
FAM-12,נצחון ↔ ניצחון,spelling_variant,HIGH,"Same pattern as FAM-11 (common noun, ""victory"") — grouped here so Zuriel can decide both at once if a general policy is preferred.",APPROVE spelling_variant link / DECLINE / DEFER / covered by a general policy alongside FAM-11,no link exists
