vocabulary_column,value,row_count,exists_in_live_db,canonical_candidate_or_inferred,belongs_to,notes
corpus_role,research_vocabulary,8843,NO (no live column holds this exact vocabulary),"candidate (v3-internal, unreviewed)",research_dna / possible future gematria_words column,Overlaps but does not match dna_status's 4-value vocabulary.
corpus_role,thematic_corpus,2858,NO (no live column holds this exact vocabulary),"candidate (v3-internal, unreviewed)",research_dna / possible future gematria_words column,Overlaps but does not match dna_status's 4-value vocabulary.
corpus_role,research_package,1713,NO (no live column holds this exact vocabulary),"candidate (v3-internal, unreviewed)",research_dna / possible future gematria_words column,Overlaps but does not match dna_status's 4-value vocabulary.
corpus_role,public_core,762,NO (no live column holds this exact vocabulary),"candidate (v3-internal, unreviewed)",research_dna / possible future gematria_words column,Overlaps but does not match dna_status's 4-value vocabulary.
corpus_role,numeric_word_construct,704,NO (no live column holds this exact vocabulary),"candidate (v3-internal, unreviewed)",research_dna / possible future gematria_words column,Overlaps but does not match dna_status's 4-value vocabulary.
corpus_role,archival_raw,337,NO (no live column holds this exact vocabulary),"candidate (v3-internal, unreviewed)",research_dna / possible future gematria_words column,Overlaps but does not match dna_status's 4-value vocabulary.
corpus_role,personal_or_restricted,123,NO (no live column holds this exact vocabulary),"candidate (v3-internal, unreviewed)",research_dna / possible future gematria_words column,Overlaps but does not match dna_status's 4-value vocabulary.
corpus_role,conversational_noise,84,NO (no live column holds this exact vocabulary),"candidate (v3-internal, unreviewed)",research_dna / possible future gematria_words column,Overlaps but does not match dna_status's 4-value vocabulary.
corpus_role,human_review,6,NO (no live column holds this exact vocabulary),"candidate (v3-internal, unreviewed)",research_dna / possible future gematria_words column,Overlaps but does not match dna_status's 4-value vocabulary.
corpus_role,duplicate_normalized,2,NO (no live column holds this exact vocabulary),"candidate (v3-internal, unreviewed)",research_dna / possible future gematria_words column,Overlaps but does not match dna_status's 4-value vocabulary.
corpus_role,garbage_or_broken,1,NO (no live column holds this exact vocabulary),"candidate (v3-internal, unreviewed)",research_dna / possible future gematria_words column,Overlaps but does not match dna_status's 4-value vocabulary.
primary_confidence,high,9648,NO,candidate,research_dna,reconstructed_step3 = the 330 WhatsApp-intake rows from the Step-3 closure.
primary_confidence,medium,4460,NO,candidate,research_dna,reconstructed_step3 = the 330 WhatsApp-intake rows from the Step-3 closure.
primary_confidence,low,995,NO,candidate,research_dna,reconstructed_step3 = the 330 WhatsApp-intake rows from the Step-3 closure.
primary_confidence,reconstructed_step3,330,NO,candidate,research_dna,reconstructed_step3 = the 330 WhatsApp-intake rows from the Step-3 closure.
display_recommendation,eligible via existing lens (per corpus_role),15217,NO,"candidate (recommendation, not applied)",research_dna (never auto-applied to visibility_tier),
display_recommendation,hold/restrict,214,NO,"candidate (recommendation, not applied)",research_dna (never auto-applied to visibility_tier),
display_recommendation,dedupe-then-display,2,NO,"candidate (recommendation, not applied)",research_dna (never auto-applied to visibility_tier),
world_theme,"(column present, always empty)",0,N/A — no data,N/A,N/A — dead column,"Live gematria_words.world (1341 rows, 5 real values) already covers this ground and is NOT reflected in v3 at all."
research_package_cluster,none,1339,NO (no live edges/nodes group by these cluster names),"candidate (unreviewed, groups multiple rows = relationship, not attribute)",graph (nodes type=convergence / edges) — NOT a gematria_words column,
research_package_cluster,messianic_claim_linked,65,NO (no live edges/nodes group by these cluster names),"candidate (unreviewed, groups multiple rows = relationship, not attribute)",graph (nodes type=convergence / edges) — NOT a gematria_words column,
research_package_cluster,entity_world_geulah,32,NO (no live edges/nodes group by these cluster names),"candidate (unreviewed, groups multiple rows = relationship, not attribute)",graph (nodes type=convergence / edges) — NOT a gematria_words column,
research_package_cluster,ysk_1011,4,NO (no live edges/nodes group by these cluster names),"candidate (unreviewed, groups multiple rows = relationship, not attribute)",graph (nodes type=convergence / edges) — NOT a gematria_words column,
research_package_cluster,cross_1237,4,NO (no live edges/nodes group by these cluster names),"candidate (unreviewed, groups multiple rows = relationship, not attribute)",graph (nodes type=convergence / edges) — NOT a gematria_words column,
research_package_cluster,ysk_1835,3,NO (no live edges/nodes group by these cluster names),"candidate (unreviewed, groups multiple rows = relationship, not attribute)",graph (nodes type=convergence / edges) — NOT a gematria_words column,
research_package_cluster,tzvi_786_keter,3,NO (no live edges/nodes group by these cluster names),"candidate (unreviewed, groups multiple rows = relationship, not attribute)",graph (nodes type=convergence / edges) — NOT a gematria_words column,
research_package_cluster,sod1820_branch_786,2,NO (no live edges/nodes group by these cluster names),"candidate (unreviewed, groups multiple rows = relationship, not attribute)",graph (nodes type=convergence / edges) — NOT a gematria_words column,
research_package_cluster,sali_mor_tisha_bav,2,NO (no live edges/nodes group by these cluster names),"candidate (unreviewed, groups multiple rows = relationship, not attribute)",graph (nodes type=convergence / edges) — NOT a gematria_words column,
research_package_cluster,tzvi_opoc_610,2,NO (no live edges/nodes group by these cluster names),"candidate (unreviewed, groups multiple rows = relationship, not attribute)",graph (nodes type=convergence / edges) — NOT a gematria_words column,
research_package_cluster,ysk_hitkansut,2,NO (no live edges/nodes group by these cluster names),"candidate (unreviewed, groups multiple rows = relationship, not attribute)",graph (nodes type=convergence / edges) — NOT a gematria_words column,
