source_number,generated_expression,generation_type,method,target_number,source_anchor_status,target_anchor_status,corpus_support,graph_support,convergence_support,package_support,source_support,independent_evidence_count,mechanical_duplicate,evidence_class,provenance
45,ארבעים וחמש,cardinal_wording,גדול,1237,metatron_anchors|number_anchors,anchor_families|calculator_anchors|number_anchors|number_roots [rejected],True,True,False,True,False,3,False,E,"topic_card '1237 — קורונה, תשובה, דוד' approved; 44 existing phrases; graph already has 45->776 AND 776->1237 cross-edges -- i.e. an independent pre-existing 2-hop graph path 45->776->1237 exists, separate from and corroborating the direct 1-hop generated-language hit 45->1237 found in Phase 1. anchor_families.root=1237 itself carries status=rejected (flagged, not hidden) -- this topic_card and these edges are independent of that rejected row."
50,חמישים,cardinal_wording,סידורי,75,metatron_anchors,calculator_anchors|number_roots,True,False,True,True,False,3,False,E,"topic_card 'gapfill-75' approved (22 phrases, matches live count exactly); nodes type='convergence' exists for value=75; no cross-type edge from 50 or to 776 found."
50,חמש אפס,digit_read,אלבם,152,metatron_anchors,metatron_anchors,True,False,False,False,False,1,False,B,"18 existing gematria_words phrases incl. 'צמח דוד'/'צמח דוד ∆' — matches metatron_anchors' own label for 152 exactly; no topic_card, no convergence-node, no cross-edge found."
50,חמש אפס,digit_read,סידורי,75,metatron_anchors,calculator_anchors|number_roots,True,False,True,True,False,3,False,E,"topic_card 'gapfill-75' approved (22 phrases, matches live count exactly); nodes type='convergence' exists for value=75; no cross-type edge from 50 or to 776 found."
59,חמש תשע,digit_read,גדול,1118,anchor_families|number_anchors [approved_anchor],calculator_anchors|number_roots,True,False,True,True,False,3,False,E,"topic_card 'gapfill-1118' approved (40 phrases, matches live count exactly); convergence-node exists for value=1118."
59,חמש תשע,digit_read,רגיל,1118,anchor_families|number_anchors [approved_anchor],calculator_anchors|number_roots,True,False,True,True,False,3,True,MECHANICAL_DUPLICATE,"same source+expression+target as the גדול row directly above -- גדול≡רגיל is a trivial coincidence here (phrase has no sofit/final letters), not two independent hits."
73,שבע שלוש,digit_read,אלבם,156,number_anchors,number_anchors,True,False,True,True,False,3,False,E,topic_card 'tzvi-conv-156' approved; convergence-node exists; 26 existing phrases.
75,שבעים וחמש,cardinal_wording,רגיל,776,calculator_anchors|number_roots,calculator_anchors|number_anchors|number_roots,True,True,False,True,True,4,False,E,"152 existing gematria_words phrases at 776 incl. both '148' and '75' word-forms verbatim; human note 'שבעים וחמש = ביום ההוא = 75' explicitly equates 75; graph has pre-existing cross-edges 45->776, 86->776, 776->1237, 776->1202 (all within the 61-anchor set); 2 approved/merged topic_cards ('776 — הכל מתחבר כאן', '776 — שנת יהוה', merged). No direct edge exists yet between 75-node/148-node and 776-node specifically."
145,אחד ארבע חמש,digit_read,אטבח,256,anchor_families [reviewed],calculator_anchors,True,False,False,False,False,1,False,B,13 existing phrases incl. 'אהרן'; no topic_card/convergence-node found.
148,מאה ארבעים ושמונה,cardinal_wording,רגיל,776,anchor_families [approved_anchor],calculator_anchors|number_anchors|number_roots,True,True,False,True,True,4,False,E,"152 existing gematria_words phrases at 776 incl. both '148' and '75' word-forms verbatim; human note 'שבעים וחמש = ביום ההוא = 75' explicitly equates 75; graph has pre-existing cross-edges 45->776, 86->776, 776->1237, 776->1202 (all within the 61-anchor set); 2 approved/merged topic_cards ('776 — הכל מתחבר כאן', '776 — שנת יהוה', merged). No direct edge exists yet between 75-node/148-node and 776-node specifically."
148,אחד ארבע שמונה,digit_read,אטבח,313,anchor_families [approved_anchor],calculator_anchors|number_roots,True,False,False,False,False,1,False,B,15 existing phrases; no topic_card/convergence-node found.
148,אחד ארבע שמונה,digit_read,סידורי,111,anchor_families [approved_anchor],calculator_anchors|metatron_anchors|number_anchors|number_roots,True,False,False,False,False,1,False,B,24 existing phrases; no topic_card/convergence-node found.
414,ארבע מאות וארבע עשרה,cardinal_wording,אלבם,474,number_anchors,number_roots,True,False,False,False,False,1,False,B,"31 existing phrases (messianic-themed bucket); no topic_card, no convergence-node found."
414,ארבע אחד ארבע,digit_read,אלבם,358,number_anchors,metatron_anchors|number_anchors,True,False,False,False,False,1,False,B,"58 existing phrases (richest bucket in this set, messiah-themed); no topic_card/convergence-node found."
