gap,count,reason,blocks_next_stage
IDs without corpus_role,0,"כל 15,433 השורות מחזיקות resolved_corpus_role לאחר Master v2 + STEP3 reconciliation.",no
IDs with unresolved classification (ambiguity_unresolved_flag),1,"שורה אחת בלבד ('יהוה בעת ההיא') לא התאימה לאף dimension-rule ב-STEP2 -- תוכן תמטי עם רמז זמן מעורפל, לא תאריך קונקרטי.",no
Method candidates unresolved (registry decision pending),37,"3 candidate-labels (ר""ת=18, ס""ת=18, רגיל-ישר-והפוך=3, חופפים בחלק מהשורות) עדיין insufficient_definition/unresolved_historical_method. ר""ת יש לו anchor=644 עם evidence_strength=medium (עקביות פנימית לא-מוסברת); סת ורגיל-ישר-והפוך נטולי-עוגן.","no -- אינו חוסם corpus_role, רק את שלמות ה-Method DNA לאותן 37 שורות"
Method mismatches kept as historical_method_claim (not corrected),203,"225 mismatches פחות 19 candidate_method_dependency (כבר בקבוצה הקודמת) = 203. נשמרו לפי הוראה מפורשת כ-historical_method_claim, לא תוקנו.","no -- החלטת-מדיניות אחת (individual review vs. blanket legacy) ממתינה, לא חוסמת שום דבר אחר"
"Numeric-word rows flagged ambiguous, outside the resolved-62 set",33,"93 שורות עם numword_category=ambiguous בסה""כ בקורפוס; 62 מתוכן טופלו ב-STEP2 (רובן overlap). 33 הנותרות סוננו כבר בסיבוב-הביקורת המקורי של numeric-word (רשימת homograph-exclusion: שני/שיש/ושתי/מעשר/תולעת/חוט/וכו') -- כלומר כבר יש להן resolution logic, לא נבדקו מחדש כאן כדי לא לפתוח Audit מיותר.","no -- resolution logic כבר קיימת מהסיבוב הקודם, בדיקה חוזרת לא הייתה משנה החלטה"
"Year/time rows flagged ambiguous, outside the resolved-62 set",0,שתי השורות היחידות עם yeartime_category=ambiguous בכל הקורפוס נכללו במלואן ב-62 ותוקנו.,no
Missing world/theme where evidence likely exists,,"לא בוצע סריקה מלאה של עמודת world/category ל-15,433 השורות בסבב הזה (רק ל-272 השורות שנבדקו ב-Phase 3, כולן חזרו null/עקביות). לא נבדק האם קיים evidence-ברור לעולם/נושא בשאר הקורפוס -- לא בוצע audit כי אין החלטה שהוא היה משנה כרגע.",no -- לא נדרש להצגה/corpus_role
Missing researcher/vip_source attribution where provenance likely exists,,"ב-272 השורות שנבדקו ב-Phase 3 (candidate+mismatch+match), vip_source=NULL תמיד. לא נבדק שאר ה-15,433 (יש רמז ממשימות קודמות ש-WhatsApp wa-vip/researcher_definitions עשוי להחזיק attribution אמיתי במקומות אחרים) -- לא בוצע audit נוסף כי לא היה משנה החלטה בסבב הזה.",no
Duplicate/repairable rows requiring Human-Gate,2,"2 השורות duplicate_normalized הידועות מ-Master v1/v2 (קרח ועדתו, בי נשבעתי) -- כבר טופלו בסבב קודם, מוצגות כאן להשלמת-תמונה בלבד, לא דורשות החלטה חדשה.",no
WhatsApp structured gaps remaining,0,"כל 330 השורות קיבלו structured_corpus_role חדש ב-STEP3 (research_package=89, archival_raw=89, conversational_noise=84, research_vocabulary=62, human_review=6). MISSING_STRUCTURED_DATA ירד מ-330 ל-0.",no
