# סוד החשמל — full lesson index extracted from post id=1794 (wp_id=503, 2013-11-26)
# READ-ONLY extraction. Each row = one source unit (audio lesson) with its one-line topic.
# parsed=1202 distinct=1200 range=2-1279 numbering_gaps=78
# lesson_no	topic
1279	רמזים על ירקות הגזר והפלפל ועל פרי האבוקדו והאגוזים ועוד
1278	אם שאול לא היה חוטא במלחמת עמלק הוא היה ממליך את דוד המלך בסוד חיבור שתי המשיחים
1277	ירק העגבנייה התגלה בעולם רק לאחר גילוי יבשת אמריקה, ולכן העגבנייה דומה ללב ובריאה ללב ולדם
1276	לפי ממצאים ארכיאולגים הגמלים היו חיה נדירה ויקרה מאד בימי האבות, והמסר של האמונה מפרשת חיי שרה
1275	הקשר של יואל הנביא למספר 73 ולשרש הפיתוי של היחוד השלם
1274	הפסוק "מי לך פה חתן" מרמז מי כאן חתן דומה למלך לרדת מדרגתו להשפיע לאחרים, להוליד את שרש דוד
1273	רואים בפרק קמ"ה בתהילים ל' פעמים צירופי כ"ל, לרמז על המלך היושב על הכסא
1272	על בחירת טראמפ לנשיא ארה"ב
1271	מוזכר שבע פעמים המילה ארץ בפסוקים שמדברים בשבח ארץ ישראל
1270	הלבנה טענה שאי אפשר ששני מלכים הינו הקדוש ברוך הוא והשמש ישתמשו בכתר אחד
1269	רמזים על יום ל' בתשרי תשפ"ה והסוד של שמיטת כספים שקשור עם מוצאי שביעית שבן דוד בא בסוד החנינה
1268	רמזים על התקיפה באירן בשבת בראשית ועל שנת תשפ"ה שמסוגלת לגאולה
1267	הקשר בין נענועי הלולב לתנופת שתי הלחם ורמזים על הושענה רבה תשפ"ה
1266	נענועי הלולב נרמזים בפסוק "וינער ה' את מצרים בתוך הים"
1265	הקשר בין מות סינואר ונסרלה לסיום הנסירה של 70 שנים של חבלי משיח, ורמזים על חג הסוכות
1261	המשך השיעור הקודם
1260	השופר עשוי מלבוש החשמל של אדם הראשון קודם החטא, שהיה עשוי מצפורניים
1259	הריגת נאסרלא בלבנון, והחש של החשמל שיש בברית מילה שחש ומתגלה מל, זה הסוד של האחישנה
1258	רצף אותיות יחיד בתנ"ך לד"ה פעיל"ה נמצא בפסוק "והאבן גדלה על פי הבאר"
1257	מדוע עלתה במחשבה לפניו יתברך שלדוד המלך אין חיים משלו רק מה שמקבל מתנה מאחרים
1256	הפיצוצים בלבנון והקשר לגדעון סער עם רמז על ציר פלדלפי ודונלד טראמפ ועוד
1255	הלוח של שנת תשפ"ה זועק שנת גאולה
1254	קוד סודי בגימטריא קץ ובגימטריא הגיע הזמן
1253	על הזוהר שהקב"ה כביכול אינו יכול לגאול את עם ישראל, בגלל שאין חבוש מתיר עצמו מבית האסורים
1252	דוד המלך רמז את זמן הקץ בפסוק "ואני קרבת אלהים" בגימטריא אלול ה'תשפ"ד
1251	המשך השיעור הקודם
1250	גאולת בעתה היא סוד המזל שאינו תלוי בזכות, וגילוי בצפנים מתי הולך להתעורר המזל של גאולת בעתה
1249	המשך השיעור על שבע שנים שבן דוד בא שמתחבר באופן נפלא להתרחשויות של שנים אלו
1248	"אדניקם" מרמז על שם אדני שמסמל את השכינה שקמה לגאול את ישראל
1247	המשך השיעור על שבע שנים שבן דוד בא שמתחבר באופן נפלא להתרחשויות של שנים אלו
1246	השבטים גד ומנשה מרמזים על גיד הנשה שנרמז במעבר יבק שבעבר הירדן
1245	ההתרחשויות שנאמרו בחז"ל לשבע שנים שבן דוד בא מתחבר באופן נפלא להתרחשויות של שנים אלו
1244	הקשר בין יום שמיני עצרת ליום תשעה באב והצפייה להשלמת תהליך לידת משיח
1243	ההתרחשויות שנאמרו בחז"ל לשבע שנים שבן דוד בא מתחבר באופן נפלא להתרחשויות של שנים אלו האותיות מש"ה ה"ר סינ"י נרמזות ברצף אותיות יחיד בתנ"ך בפסוק "אלהים הרס שנימו בפימו"
1242	ההתרחשויות שנאמרו בחז"ל לשבע שנים שבן דוד בא מתחבר באופן נפלא להתרחשויות של שנים אלו שם ע"ב "ויסע ויבא ויט": "ויסע" נרמז במסעי, "ויט" נרמז במטות, ו"ויבוא" נרמז בחיבור של מטות מסעי
