phrase,source,ragil,is_verified,visibility_tier,category,created_date,n_words,proposed_corpus_role,proposed_theme,confidence,short_reason
יהסוץ,wa-120363409557,171,False,3,קבוצת וואטסאפ,2026-07-03,1,research_vocabulary,single_word,medium,מילה עברית תקנית בודדת — ללקסיקון-מחקר
צביקה,wa-120363409557,207,False,3,קבוצת וואטסאפ,2026-07-03,1,research_vocabulary,single_word,medium,מילה עברית תקנית בודדת — ללקסיקון-מחקר
ב ה,wa-120363409557,7,False,3,קבוצת וואטסאפ,2026-07-03,2,conversational_noise,,high,"שבר-קטוע/מילת-מילוי (סימן-גרש שנקטע, או קריאת-ביניים) — לא ביטוי עצמאי"
במילוי שלו,wa-120363409557,434,False,3,קבוצת וואטסאפ,2026-07-03,2,research_vocabulary,method_self_reference,medium,"הביטוי הוא שם-שיטה/מונח-מחשבון על עצמו — ללקסיקון, לא ממצא-תוכן"
וגם מיכאל,wa-120363409557,150,False,3,קבוצת וואטסאפ,2026-07-03,2,conversational_noise,,high,שבר-שיחה/פנייה-לבוט/מטא-דיבור — לא תוכן עצמאי
זה עשו,wa-120363409557,388,False,3,קבוצת וואטסאפ,2026-07-03,2,conversational_noise,,high,שבר-שיחה/פנייה-לבוט/מטא-דיבור — לא תוכן עצמאי
פתח שער,wa-120363409557,1058,False,3,קבוצת וואטסאפ,2026-07-03,2,conversational_noise,,high,שבר-שיחה/פנייה-לבוט/מטא-דיבור — לא תוכן עצמאי
רק צביקה,wa-120363409557,507,False,3,קבוצת וואטסאפ,2026-07-03,2,conversational_noise,,high,שבר-שיחה/פנייה-לבוט/מטא-דיבור — לא תוכן עצמאי
שלום לכולם,wa-120363409557,502,False,3,קבוצת וואטסאפ,2026-07-03,2,conversational_noise,,high,שבר-שיחה/פנייה-לבוט/מטא-דיבור — לא תוכן עצמאי
תודה רבה,wa-120363409557,622,False,3,קבוצת וואטסאפ,2026-07-03,2,conversational_noise,,high,שבר-שיחה/פנייה-לבוט/מטא-דיבור — לא תוכן עצמאי
חיובי,wa-deep,36,False,3,קבוצת וואטסאפ,2026-07-03,1,thematic_corpus,emotion_separation,medium,שייך לאשכול פרידה/רגש (תרגיל-מילים wa-deep)
פרידה,wa-deep,299,False,3,קבוצת וואטסאפ,2026-07-03,1,thematic_corpus,emotion_separation,medium,שייך לאשכול פרידה/רגש (תרגיל-מילים wa-deep)
ירד מפה,wa-deep,339,False,3,קבוצת וואטסאפ,2026-07-03,2,thematic_corpus,emotion_separation,medium,שייך לאשכול פרידה/רגש (תרגיל-מילים wa-deep)
מפריד ים,wa-deep,384,False,3,קבוצת וואטסאפ,2026-07-03,2,thematic_corpus,emotion_separation,medium,שייך לאשכול פרידה/רגש (תרגיל-מילים wa-deep)
אתב ש שמעון,wa-deep,1169,False,3,קבוצת וואטסאפ,2026-07-03,3,research_vocabulary,method_self_reference,medium,"הביטוי הוא שם-שיטה/מונח-מחשבון על עצמו — ללקסיקון, לא ממצא-תוכן"
ב ה אברהם,wa-deep,255,False,3,קבוצת וואטסאפ,2026-07-03,3,research_vocabulary,,low,"ביטוי קצר בעל תוכן אפשרי, לא ודאי אם עצמאי או קטע-שיחה — טעון בדיקה"
צבי גימטריא טוב,wa-deep,392,False,3,קבוצת וואטסאפ,2026-07-03,3,research_vocabulary,,low,"ביטוי קצר בעל תוכן אפשרי, לא ודאי אם עצמאי או קטע-שיחה — טעון בדיקה"
אתם מדהימים שבוע טוב,wa-deep,985,False,3,קבוצת וואטסאפ,2026-07-04,4,conversational_noise,,high,שבר-שיחה/פנייה-לבוט/מטא-דיבור — לא תוכן עצמאי
גם צביקה גימטריא אינסוף,wa-deep,730,False,3,קבוצת וואטסאפ,2026-07-03,4,conversational_noise,,high,שבר-שיחה/פנייה-לבוט/מטא-דיבור — לא תוכן עצמאי
הרב עמוס גואטה נדקר,wa-deep,761,False,3,קבוצת וואטסאפ,2026-07-03,4,thematic_corpus,news_event,high,מתעד אירוע-אקטואליה (רצח הרב עמוס גואטה) — כמו 'תיעוד אירועים' באתר
וגם שמעון ועוד ג,wa-deep,604,False,3,קבוצת וואטסאפ,2026-07-03,4,conversational_noise,,high,שבר-שיחה/פנייה-לבוט/מטא-דיבור — לא תוכן עצמאי
ערכי אותיות סופיות ך,wa-deep,1705,False,3,קבוצת וואטסאפ,2026-07-03,4,research_vocabulary,method_self_reference,medium,"הביטוי הוא שם-שיטה/מונח-מחשבון על עצמו — ללקסיקון, לא ממצא-תוכן"
צבי בגימטריה של מכפלה,wa-deep,886,False,3,קבוצת וואטסאפ,2026-07-03,4,research_vocabulary,,low,"ביטוי קצר בעל תוכן אפשרי, לא ודאי אם עצמאי או קטע-שיחה — טעון בדיקה"
אכן צריך רחמי שמים רחמנא,wa-deep,1338,False,3,קבוצת וואטסאפ,2026-07-03,5,conversational_noise,,medium,"משפט ארוך מתוך שיחה — תמלול-צ'אט, לא ביטוי-מחקר עצמאי"
