phrase,source,verified,ragil,hebrew_year,gregorian_year,hebrew_gregorian_mapping,category_type,event_name,provenance,confidence,id,reason
יהוה בעת ההיא,excel_import,True,519,,,,ambiguous,,(אותיות לפני = 800 = שנת הגאולה) | source=excel_import,low,33be710c-20ef-418f-b2bf-a23453b94303,"ה-notes מכנים את הערך המחושב (800) ""שנת הגאולה"" באופן מושגי, בלי לנקוב שנה קונקרטית — לא ניתן לקבוע שנה"
קונספירציות מרחיקות 1776 255 5550 1948 474,excel_import,False,,,,,ambiguous,,קונספירציות מרחיקות 1776 255 5550 1948 474 | source=excel_import,low,793af667-2aaf-42d8-82cd-f5d1bd98cbeb,"רשימת מספרים כוללת שנים היסטוריות ידועות (1776, 1948) בתוך רשימת ""קונספירציות"" ארוכה; אין הבהרה ב-notes לאיזו מהן (אם בכלל) הביטוי מתייחס"
אש המשיח,סלי מור,True,664,"תשפ""ו",,,date_or_period,"תשעה באב תשפ""ו (ט' באב תשפ""ו)",רשימת סלימור — תשעה באב תשפו | source=סלי מור,high,63f8ce57-74eb-4f5e-beaf-25f1d1b81097,"category/tags מציינים במפורש ""תשעה באב תשפו"" — תאריך מלא (יום+שנה עברית)"
בניסן חמשת אלפים שבע מאות שבעים ושש,excel_import,False,2928,"ניסן ה'תשע""ו (5776)",2016,"ניסן ה'תשע""ו ≈ אפריל 2016",date_or_period,,בניסן חמשת אלפים שבע מאות שבעים ושש | source=excel_import,medium,e2d21341-4b38-48d6-abbf-f0e8d7c1dbc1,חודש (ניסן) + שנה עברית מאוית יחד = תאריך/תקופה מלאה
גירוש,סלי מור,True,519,"תשפ""ו",,,date_or_period,"תשעה באב תשפ""ו (ט' באב תשפ""ו)",רשימת סלימור — תשעה באב תשפו | source=סלי מור,high,10cde802-3da9-4fb2-9687-52fd539be957,"category/tags מציינים במפורש ""תשעה באב תשפו"" — תאריך מלא (יום+שנה עברית)"
היום ט באב תשפו,סלי מור,True,861,"תשפ""ו",,,date_or_period,"ט' באב תשפ""ו",רשימת סלימור — תשעה באב תשפו | source=סלי מור,high,3070bc34-12d3-4f77-b9b6-71bccf05102f,"הביטוי עצמו כולל תאריך מלא: יום ט' באב + שנה תשפ""ו"
חסד ודין בערבוב,סלי מור,True,424,"תשפ""ו",,,date_or_period,"תשעה באב תשפ""ו (ט' באב תשפ""ו)",רשימת סלימור — תשעה באב תשפו | source=סלי מור,high,ee8afcb4-c438-4bd5-9cbb-9e24542a9c95,"category/tags מציינים במפורש ""תשעה באב תשפו"" — תאריך מלא (יום+שנה עברית)"
מגילת איכה,סלי מור,True,519,"תשפ""ו",,,date_or_period,"תשעה באב תשפ""ו (ט' באב תשפ""ו)",רשימת סלימור — תשעה באב תשפו | source=סלי מור,high,572e0d4d-99fd-4379-9170-49ebb05b9bc5,"category/tags מציינים במפורש ""תשעה באב תשפו"" — תאריך מלא (יום+שנה עברית)"
מקדש יורד,סלי מור,True,664,"תשפ""ו",,,date_or_period,"תשעה באב תשפ""ו (ט' באב תשפ""ו)",רשימת סלימור — תשעה באב תשפו | source=סלי מור,high,92e9dd33-9afb-4cf5-b86f-1f0f695705df,"category/tags מציינים במפורש ""תשעה באב תשפו"" — תאריך מלא (יום+שנה עברית)"
מקדש יורד משמים,סלי מור,True,1094,"תשפ""ו",,,date_or_period,"תשעה באב תשפ""ו (ט' באב תשפ""ו)",רשימת סלימור — תשעה באב תשפו | source=סלי מור,high,8e10f155-b248-4a2d-a3d8-323128519120,"category/tags מציינים במפורש ""תשעה באב תשפו"" — תאריך מלא (יום+שנה עברית)"
