source_number,generated_expression,generation_type,method,target_number,source_anchor_status,target_anchor_status,corpus_support,corpus_phrase_count,graph_direct,graph_adjacent,convergence_support,package_support,source_note_support,independent_evidence_count,mechanical_duplicate,evidence_class,discovered_computation,pre_existing_corroboration,canonical_graph_relation,provenance
45,ארבעים וחמש,cardinal_wording,גדול,1237,metatron_anchors|number_anchors,anchor_families|calculator_anchors|number_anchors|number_roots [rejected],True,44,True,False,False,True,False,3,False,E,True,True,True,corpus:44 phrases at ragil=1237; graph:DIRECT edge; approved/merged topic_card exists
50,חמישים,cardinal_wording,סידורי,75,metatron_anchors,calculator_anchors|number_roots,True,22,False,False,True,True,False,3,False,E,True,True,False,corpus:22 phrases at ragil=75; convergence-node exists; approved/merged topic_card exists
50,חמש אפס,digit_read,אלבם,152,metatron_anchors,metatron_anchors,True,18,False,False,False,False,False,1,False,B,True,True,False,corpus:18 phrases at ragil=152
50,חמש אפס,digit_read,סידורי,75,metatron_anchors,calculator_anchors|number_roots,True,22,False,False,True,True,False,3,False,E,True,True,False,corpus:22 phrases at ragil=75; convergence-node exists; approved/merged topic_card exists
59,חמש תשע,digit_read,גדול,1118,anchor_families|number_anchors [approved_anchor],calculator_anchors|number_roots,True,40,False,True,True,True,False,4,False,E,True,True,False,corpus:40 phrases at ragil=1118; graph:adjacent (touches anchor-cluster edge); convergence-node exists; approved/merged topic_card exists
59,חמש תשע,digit_read,רגיל,1118,anchor_families|number_anchors [approved_anchor],calculator_anchors|number_roots,True,40,False,True,True,True,False,4,True,MECHANICAL_DUPLICATE,True,True,False,"same source+expression+target as the גדול row -- גדול≡רגיל trivial coincidence (phrase has no sofit letters), not two independent hits"
73,שבע שלוש,digit_read,אלבם,156,number_anchors,number_anchors,True,26,False,False,True,True,False,3,False,E,True,True,False,corpus:26 phrases at ragil=156; convergence-node exists; approved/merged topic_card exists
75,שבעים וחמש,cardinal_wording,רגיל,776,calculator_anchors|number_roots,calculator_anchors|number_anchors|number_roots,True,152,False,True,False,True,True,4,False,E,True,True,False,corpus:152 phrases at ragil=776; graph:adjacent (touches anchor-cluster edge); approved/merged topic_card exists; phrase 'שבעים וחמש = ביום ההוא = 75' -- explicit human equation naming source 75
145,אחד ארבע חמש,digit_read,אטבח,256,anchor_families [reviewed],calculator_anchors,True,13,False,False,False,False,False,1,False,B,True,True,False,corpus:13 phrases at ragil=256
148,מאה ארבעים ושמונה,cardinal_wording,רגיל,776,anchor_families [approved_anchor],calculator_anchors|number_anchors|number_roots,True,152,False,True,False,True,True,4,False,E,True,True,False,corpus:152 phrases at ragil=776; graph:adjacent (touches anchor-cluster edge); approved/merged topic_card exists; phrase 'מאה ארבעים ושמונה (148)' -- parenthetical explicitly naming source 148
148,אחד ארבע שמונה,digit_read,אטבח,313,anchor_families [approved_anchor],calculator_anchors|number_roots,True,15,False,False,False,False,False,1,False,B,True,True,False,corpus:15 phrases at ragil=313
148,אחד ארבע שמונה,digit_read,סידורי,111,anchor_families [approved_anchor],calculator_anchors|metatron_anchors|number_anchors|number_roots,True,24,False,False,False,False,False,1,False,B,True,True,False,corpus:24 phrases at ragil=111
414,ארבע מאות וארבע עשרה,cardinal_wording,אלבם,474,number_anchors,number_roots,True,31,False,False,False,False,False,1,False,B,True,True,False,corpus:31 phrases at ragil=474
414,ארבע אחד ארבע,digit_read,אלבם,358,number_anchors,metatron_anchors|number_anchors,True,58,False,True,False,True,False,3,False,E,True,True,False,corpus:58 phrases at ragil=358; graph:adjacent (touches anchor-cluster edge); approved/merged topic_card exists
456,ארבע חמש שש,digit_read,אלבם,216,number_anchors,calculator_anchors|number_anchors,True,39,False,False,False,True,False,2,False,E,True,True,False,corpus:39 phrases at ragil=216; approved/merged topic_card exists
456,ארבע חמש שש,digit_read,סידורי,123,number_anchors,metatron_anchors|number_anchors,True,32,False,True,True,True,False,4,False,E,True,True,False,corpus:32 phrases at ragil=123; graph:adjacent (touches anchor-cluster edge); convergence-node exists; approved/merged topic_card exists
474,ארבע שבע ארבע,digit_read,אלבם,223,number_roots,number_anchors,True,20,False,False,True,True,False,3,False,E,True,True,False,corpus:20 phrases at ragil=223; convergence-node exists; approved/merged topic_card exists
506,חמש מאות ושש,cardinal_wording,מסתתר,1024,number_anchors,calculator_anchors,True,4,False,False,False,False,False,1,False,B,True,True,False,corpus:4 phrases at ragil=1024
512,חמש מאות ושתים עשרה,cardinal_wording,אטבח,974,calculator_anchors,number_anchors,True,14,False,False,False,False,False,1,False,B,True,True,False,corpus:14 phrases at ragil=974
555,חמש חמש חמש,digit_read,אתבש,216,calculator_anchors,calculator_anchors|number_anchors,True,39,False,False,False,True,False,2,False,E,True,True,False,corpus:39 phrases at ragil=216; approved/merged topic_card exists
566,חמש מאות שישים ושש,cardinal_wording,אותיות אחרי,2216,anchor_families|number_anchors [featured],number_anchors,True,9,False,False,False,False,False,1,True,MECHANICAL_DUPLICATE,True,True,False,566/665 digit-permutation pair; cardinal forms mechanically mirror
566,חמש שש שש,digit_read,אלבם,152,anchor_families|number_anchors [featured],metatron_anchors,True,18,False,False,False,False,False,1,True,MECHANICAL_DUPLICATE,True,True,False,"digit-permutation of 665 (digit multiset {5,6,6}); all 13 method-values identical"
665,שש מאות שישים וחמש,cardinal_wording,אותיות אחרי,2216,number_anchors,number_anchors,True,9,False,False,False,False,False,1,True,MECHANICAL_DUPLICATE,True,True,False,digit-permutation counterpart of 566's cardinal_wording row
665,שש שש חמש,digit_read,אלבם,152,number_anchors,metatron_anchors,True,18,False,False,False,False,False,1,True,MECHANICAL_DUPLICATE,True,True,False,digit-permutation of 566; all 13 method-values identical
999,תשע תשע תשע,digit_read,אטבח,360,calculator_anchors|number_roots,metatron_anchors,True,43,False,False,False,True,False,2,False,E,True,True,False,corpus:43 phrases at ragil=360; approved/merged topic_card exists
1948,אחד תשע ארבע שמונה,digit_read,אלבם,474,number_anchors,number_roots,True,31,False,False,False,False,False,1,False,B,True,True,False,corpus:31 phrases at ragil=474
