source_table,source_id,source_title,source_author_contributor,original_excerpt,language_script,hebrew_term,foreign_term,relationship_type,claimed_method,claimed_value,computed_or_claimed,existing_language_bridge,existing_alias,existing_graph_support,provenance,confidence,ambiguity,notes
nodes(language_bridge),a62cc410-67c7-470a-be34-e99ad22d3a0b,משיח ↔ мессия,curated (Zuriel),גם ברוסית — «мессия» תעתוק של «משיח».,Cyrillic/Russian,משיח,мессия,transliteration,transliteration,358,"Hebrew side computed & reproducible (משיח ragil=358, confirmed live in gematria_words); Russian side is an uncomputed phonetic-transliteration assertion, no numeric method applied to Cyrillic",YES (this row),no matching word_aliases row,edges: entity--has_language_bridge-->bridge--bridges_to-->foreign_word (26 live edges total for language_bridge),source=language_links; translation_source=curated (Zuriel); human_verified=true,medium (evidence_level=medium),low,Hebrew value independently confirmed against gematria_words in this audit.
nodes(language_bridge),b58240b4-5d30-4f1a-a2b1-68e5f5255a2d,סוד ↔ Secret,curated (Zuriel),"גילוי חוצה-שפות: Secret ב-English Ordinal (a=1..z=26) = 70, ו-סוד ברגיל = 70 — וגם סוד = התרגום של Secret. תרגום + ערך משותף (⭐⭐⭐⭐⭐). המשמעותי היחיד מתוך 280 זוגות-תרגום שנסרקו.",Latin/English,סוד,Secret,shared_numeric_value,English Ordinal (a=1..z=26),70,"BOTH sides independently reproducible: Hebrew סוד ragil=70 (confirmed live); English Ordinal S+E+C+R+E+T=19+5+3+18+5+20=70 (hand-verified in this audit, matches)",YES (this row),"YES — ALSO exists as word_aliases row (id eb85166d, alias='secret', alias_type=translation, source=zuriel) — two independent mechanisms recording the same claim, never cross-checked at intake (flagged live by a prior same-day agent pass, CORPUS_EXPANSION_PHASE_1)",edges (language_bridge),source=language_links; concept seed (curated) + engine-verified; human_verified=true,strong (evidence_level=strong),"none — the ONE flagged-strong result out of a stated 280 translation pairs scanned; described in the record itself as the standout, not the norm","Gold-set quality: full reproducible arithmetic on both language sides, explicit translation relation, explicit disclosure that it is 1 of 280 scanned (honest denominator)."
nodes(language_bridge),0c727027-f1c5-4382-9c12-917e2fa8c9dc,כהן ↔ priest,curated (Zuriel),"גשר ישיר חוצה-שפה: «priest» ב-Reverse Ordinal (a=26…z=1) = 75, ו-«כהן» ברגיל = 75 — וגם כהן = התרגום של priest. תרגום + ערך משותף. אומת במנוע (fn_ragil + Reverse-Ordinal דטרמיניסטי).",Latin/English,כהן,priest,shared_numeric_value,Reverse Ordinal (a=26..z=1),75,"Hebrew side computed & reproducible (כהן ragil=75, confirmed live); English 'Reverse Ordinal' claim not independently re-derived by hand in this audit but internally consistent with the stated deterministic rule",YES (this row),no,edges (language_bridge),source=language_links; concept seed (curated) + engine-verified; human_verified=true,strong (evidence_level=strong),low,"'Reverse Ordinal' is a real named deterministic method used consistently across several language_bridge rows (also: עבד/slave) but is NOT present in gematria_methods — it is corpus-external/claimed, not a canonical registry method."
nodes(language_bridge),581a7107-33a3-4f8f-a556-c4116c799325,כבוד ↔ glory,curated (Zuriel),"גשר ישיר חוצה-שפה: «glory» ב-Full Reduction (רדוקציה פיתגורית 1-9) = 32, ו-«כבוד» ברגיל = 32 — וגם כבוד = התרגום של glory.",Latin/English,כבוד,glory,shared_numeric_value,Full Reduction (Pythagorean 1-9),32,"Hebrew side computed & reproducible (כבוד ragil=32, confirmed live); English 'Full Reduction' claim not independently re-derived by hand",YES (this row),no,edges (language_bridge),source=language_links; concept seed (curated) + engine-verified; human_verified=true,strong (evidence_level=strong),low,'Full Reduction' is another named deterministic method used consistently but not in gematria_methods registry — claimed/external only.
nodes(language_bridge),aea31371-e702-4cd8-b1c3-8f684a37d925,כס ↔ throne,curated (Zuriel),"גשר ישיר חוצה-שפה: «throne» ב-English Ordinal (a=1…z=26) = 80, ו-«כס» ברגיל = 80 — וגם כס = התרגום של throne (צורת-מקרא של כסא).",Latin/English,כס,throne,shared_numeric_value,English Ordinal (a=1..z=26),80,"Hebrew side computed & reproducible (כס ragil=80, per record; not independently re-queried from gematria_words in this pass); English Ordinal T+H+R+O+N+E=20+8+18+15+14+5=80 — HAND-VERIFIED reproducible in this audit",YES (this row),no,edges (language_bridge),source=language_links; human_verified=true,strong (evidence_level=strong),low,English-side arithmetic independently confirmed correct by this audit.
posts,5018,שבילי שפה — חיבור בין שפות | מפתח לגן · מבוא | רמזים חזקים ביותר — §God=26,מערכת כי לה' המלוכה (byline) / חומר שמקורו בצוריאל + שמעון חיימוב (ה-STR cluster משויך במפורש 'בקו של שמעון חיימוב'),God = 26 — בדיוק כמו יהוה = 26 וכמו 26 האותיות. השם באנגלית נושא את אותו מניין.,Latin/English,יהוה,God,shared_numeric_value,"English Ordinal (a=1..z=26), letter-by-letter shown on-page (G=7,O=15,D=4)",26,BOTH sides independently reproducible: HAND-VERIFIED in this audit G+O+D=7+15+4=26; Hebrew יהוה=26 is standard canonical ragil,no matching language_bridge row exists for 'God',no,post links via /number/God and /number/26; no dedicated graph node,post 5018,"high — fully reproducible arithmetic on both sides, using a method (English Ordinal) also used elsewhere in the live corpus (language_bridge Secret/throne rows)",none,"Strong Gold Set candidate: clean, reproducible, canonical-Hebrew + clearly-defined foreign method, not represented in language_bridge yet."
posts,5018,שבילי שפה — חיבור בין שפות | מפתח לגן · מבוא | רמזים חזקים ביותר — §Elohim=62,מערכת כי לה' המלוכה (byline) / חומר שמקורו בצוריאל + שמעון חיימוב (ה-STR cluster משויך במפורש 'בקו של שמעון חיימוב'),"Elohim = 62 — וזה 26 הפוך. שני שמות הבורא באנגלית: God=26, Elohim=62 — והיפוך אחד.",Latin/English,"(implicitly אלהים, not spelled out as the Hebrew comparison term in this specific panel — comparison is to the number 26, not to a Hebrew word directly)",Elohim,numeric_transform_relation,"English Ordinal for the value (E=5,L=12,O=15,H=8,I=9,M=13); relation to 26 is a digit-reversal (62 reversed = 26)",62,HAND-VERIFIED in this audit: E+L+O+H+I+M=5+12+15+8+9+13=62; digit-reversal 62->26 is arithmetically trivial and correct,no matching language_bridge row for 'Elohim',no,"post links /number/Elohim, /number/62, /number/26%20הפוך; no dedicated graph node",post 5018,high — reproducible English Ordinal + trivially-verifiable digit reversal,low,"This is a numeric_transform_relation (digit reversal), distinct from the God=26 shared_numeric_value pairing directly above it in the same post — correctly split into a separate finding here."
posts,5018,שבילי שפה — חיבור בין שפות | מפתח לגן · מבוא | רמזים חזקים ביותר — §Bereshit=86,מערכת כי לה' המלוכה (byline) / חומר שמקורו בצוריאל + שמעון חיימוב (ה-STR cluster משויך במפורש 'בקו של שמעון חיימוב'),"באנגלית מחשבים בפשטות: כל אות לפי מקומה באלף-בית — A=1, B=2, C=3 … Z=26 — ומחברים. Bereshit = 86. וזה בדיוק אלהים = 86 בעברית.","Latin/English (transliterated Hebrew word spelled in Latin letters, then English-Ordinal-computed)",אלהים,Bereshit,shared_numeric_value,"English Ordinal (a=1..z=26) applied to 'Bereshit', the Latin transliteration of בראשית",86,HAND-VERIFIED in this audit: B+E+R+E+S+H+I+T=2+5+18+5+19+8+9+20=86; Hebrew side (אלהים ragil=86) is standard canonical,no matching language_bridge row,no,"post links /number/Bereshit, /number/86, /number/אלהים; no dedicated graph node",post 5018,"high — reproducible arithmetic, and self-aware that this is a coincidence between UNRELATED words (Bereshit=Genesis/'in the beginning', not a translation of Elohim/God) — a clean, disclosed shared_numeric_value case, not mislabeled as translation","low as arithmetic, but conceptually this is the textbook example of type C (shared_numeric_value with NO semantic relation) — 'Bereshit' and 'Elohim' mean different things and are only linked by the coincidental number 86",Best worked example in the whole corpus of the required FACT vs INTERPRETATION separation for a pure numeric coincidence between semantically-unrelated words — strong Gold Set candidate specifically to illustrate category C.
posts,5018,שבילי שפה — חיבור בין שפות | מפתח לגן · מבוא | רמזים חזקים ביותר — §Godhood=68,מערכת כי לה' המלוכה (byline) / חומר שמקורו בצוריאל + שמעון חיימוב (ה-STR cluster משויך במפורש 'בקו של שמעון חיימוב'),Godhood = 68 — וזה ההיפוך של 86 (אלהים). האלוהות מתגלה בהיפוך: 86 ↔ 68. הגאולה כולה — הפכים.,Latin/English,אלהים,Godhood,numeric_transform_relation,"English Ordinal (G=7,O=15,D=4,H=8,O=15,O=15,D=4); relation to 86 is digit-reversal",68,HAND-VERIFIED in this audit: G+O+D+H+O+O+D=7+15+4+8+15+15+4=68; digit-reversal 68<->86 is arithmetically correct,no matching language_bridge row,no,"post links /number/Godhood, /number/68, /number/ההיפוך של 86; no dedicated graph node",post 5018,high — reproducible,low,"The 'הפוך אחד' (one reversal) framing linking Elohim/26<->62 AND Godhood/68<->86 shows a repeated pattern (digit-reversal as a recurring rhetorical device in this post) worth tracking as a pattern, not a proven method."
posts,5018,שבילי שפה — חיבור בין שפות | מפתח לגן · מבוא | רמזים חזקים ביותר — §S-T-R phonetic cluster,מערכת כי לה' המלוכה (byline) / חומר שמקורו בצוריאל + שמעון חיימוב (ה-STR cluster משויך במפורש 'בקו של שמעון חיימוב'),"מעניין לראות את רצף הצלילים: שורש-צליל אחד — ס·ט·ר (S·T·R) — חוזר בשפה אחר שפה, ומצייר את אותו רעיון: צד · מיתר · מוזר · מדינה. (רמז-צליל חוצה-שפות, בקו של שמעון חיימוב.)",Aramaic,ס־ט־ר (root),סְטְרָא — side/צד,phonetic_relation,"cross-language sound-root pattern (S-T-R), no numeric method at all",,"explicitly NOT a gematria/numeric claim — pure phonetic/root observation across languages, no value to reproduce","no matching language_bridge row (language_bridge mechanism currently only holds numeric shared_value/translation/transliteration bridges, not phonetic-only clusters)",no,none found — this cluster has no graph representation at all,attributed explicitly in-post to שמעון חיימוב's line of research ('בקו של שמעון חיימוב'),"interpretive/pattern-level — explicitly presented as a curiosity ('מעניין לראות'), not a proof","medium-high — phonetic similarity across unrelated language families is inherently more subjective than a numeric coincidence; still, the pattern is consistent (S-T-R root recurring with related side/string/strange/country senses) and worth tracking, not worth mechanizing yet","Multilingual_pattern candidate; this whole cluster is currently NOT represented in ANY structured layer (not word_aliases, not language_bridge, not research_contributions) — pure post-content only."
