master_column,meaning,current_values_counts,existing_live_destination,destination_column_path,direct_fit_transform_research_layer_no_safe_home,overwrite_existing,conflict_rule,candidate_or_fact,human_gate_required,notes
id,"stable row identity, one per gematria_words row","15433 unique UUIDs, 0 null, 0 dup",gematria_words.id,gematria_words.id,direct_fit,N/A (is the join key),none — verified 100% 1:1 set-match against live gematria_words.id,FACT,NO,"Join key only. Confirmed exact set equality with live gematria_words.id: 0 missing either direction, 0 duplicates, 0 ambiguous joins."
phrase,the Hebrew phrase/word text,"15433 non-null, 15431 distinct (2 live phrase-duplicate pairs, pre-existing)",gematria_words.phrase,gematria_words.phrase,direct_fit,NO — already identical,verified 100% string-match (15433/15433) against live phrase for the same id; no conflicts found,FACT,NO,"Confirms row identity is real (matched by phrase text, not just coincidental UUID overlap). The 2 duplicate-phrase pairs are pre-existing live-DB duplicates (preserve_linked_row territory), not introduced by v3."
source,provenance tag for how the row entered the corpus,"162 distinct values (promoted:raw_docx_v2=7274, excel_import=5883, sod1820=416, wa-vip=283, contribution:names, wp_id:*, auto:תיעוד אירועים wp*, ...)",gematria_words.source,gematria_words.source,direct_fit,NO — already identical,verified 100% string-match (15433/15433) against live source for the same id,PROVENANCE / FACT,NO,"v3 was built directly FROM this live column, not independently — exact match confirms lineage, not new information."
corpus_role,v3's own curation taxonomy for the row (11 values),"research_vocabulary=8843, thematic_corpus=2858, research_package=1713, public_core=762, numeric_word_construct=704, archival_raw=337, personal_or_restricted=123, conversational_noise=84, human_review=6, duplicate_normalized=2, garbage_or_broken=1","gematria_words.dna_status (existing, 4 values: promoted/appendix/dna/core/null)","NO SAFE EXISTING COLUMN — dna_status is a different, coarser taxonomy that does not subsume corpus_role (e.g. dna_status='promoted' maps to research_vocabulary in 7136 rows but also thematic_corpus in 108 and research_package in 27 — not a clean re-label)",transform / research-layer,"NOT YET — would require either (a) a new gematria_words column (schema change, out of scope this phase) or (b) a research_objects/research_contributions row per id",no live column to conflict with directly; the two taxonomies coexist without contradicting each other (no case found where corpus_role asserts something dna_status directly denies),"CLASSIFICATION (candidate, v3-internal, never engine-verified)",YES,"Central open question of this whole mapping: keep dna_status and corpus_role as two parallel non-redundant classification layers, or design one unified taxonomy? Zuriel decision required before any write."
primary_confidence,v3's confidence tier for corpus_role,"high=9648, medium=4460, low=995, reconstructed_step3=330","gematria_words.is_verified (boolean, existing)","none exact — is_verified is boolean fact-verification, primary_confidence is a 4-tier classification-confidence rating; correlated (high→is_verified=True 99.8% of the time) but not identical (medium is split 2835 True / 1625 False)",transform / research-layer,NOT YET,no hard contradiction found; correlation is strong for 'high' tier only,CONFIDENCE/REVIEW,YES,reconstructed_step3=330 rows are exactly the WhatsApp-intake rows from the Step-3 closure (work_log 491aee81); is_verified split 90 True / 240 False among them matches that closure's own accounting.
display_recommendation,v3's suggested display eligibility for the row,"eligible via existing lens (per corpus_role)=15217, hold/restrict=214, dedupe-then-display=2","gematria_words.visibility_tier (existing, 3-tier: 1/2/3) + visibility_reason","no clean mapping — visibility_tier is the live, already-enforced access control; display_recommendation is an unreviewed suggestion from this CSV pass, never applied",transform / research-layer,"NOT YET, and should NEVER silently overwrite visibility_tier",would conflict by definition if written directly — visibility_tier already governs real access; a bulk overwrite from an unreviewed CSV column is exactly what post_publish_law/site_flags_lock_law style human-gates exist to prevent,DISPLAY/ACCESS (candidate recommendation only),YES,"214 hold/restrict rows deserve a manual look, but the recommendation must never be auto-applied to visibility_tier without per-row Human-Gate."
world_theme,intended: which 'world' theme the phrase belongs to,0/15433 populated — column exists in the CSV header but was NEVER filled in this pass,"gematria_words.world (existing, POPULATED: 1341 rows, 5 values: גאולה, שמות הקודש, תורה וקודש, חתימות 1820, ספירות)",gematria_words.world,NO SAFE HOME NEEDED — column is empty,N/A — nothing to write,the live gematria_words.world is strictly richer than this empty v3 column; no conflict possible since v3 has zero data here,DERIVED/REDUNDANT (dead column),NO,Genuine finding: this v3 column is a placeholder that was never populated in the research pass that produced it. Recommend dropping it from any future persistence write — the live `world` column already carries this information for the rows that have it.
research_package_cluster,named thematic/entity cluster the row belongs to (when relevant),"1463 non-null (1339='none', 124 real cluster names e.g. messianic_claim_linked=65, entity_world_geulah=32, sod1820_anchor_1718=1, ...); 16 distinct values total",none — no live column groups gematria_words rows into named clusters,graph (nodes type=convergence / edges) or research_objects (kind='relation'),"NO SAFE EXISTING COLUMN — this is relationship data, not a word attribute",research-layer / graph-candidate,N/A,no live equivalent to conflict with,CLASSIFICATION → really a RELATIONSHIP,YES,"Per the no-flattening instruction: a cluster label groups multiple words together, i.e. it IS an edge/relationship, not a per-word column. Belongs in the graph (edges linking clustered gematria_words rows, or a nodes type=convergence) once reviewed — never as a gematria_words column."
research_package_availability,v3's suggested access tier for research-package rows,"deep_research=765, public_expanded=565, internal_only=47, public_core=40, premium_candidate=28, do_not_display=18 (1463 non-null)",gematria_words.visibility_tier (partial overlap in intent),no clean mapping — different vocabulary and different granularity than the live 3-tier visibility_tier,transform / research-layer,NOT YET,no live column with this exact vocabulary to conflict with,DISPLAY/ACCESS (candidate),YES,"Ties to the platform_tiers_law 6-level access model already documented in CLAUDE.md — a real destination may eventually be a tier/entitlement mapping, not a raw column copy. Design decision, not a mechanical write."
research_package_sensitivity,privacy/sensitivity flag for research-package rows,"normal=1397, personal_claim=65, unverified_community=1 (1463 non-null)","research_objects.privacy_scope (existing column, different table)",research_objects.privacy_scope (if/when the row becomes a research_objects entry),transform / research-layer,NOT YET,no direct gematria_words equivalent; conceptually close to research_objects.privacy_scope,DISPLAY/ACCESS (candidate),YES,"personal_claim=65 rows deserve care — matches the WhatsApp human_review=6 and personal_or_restricted=123 corpus_role rows in spirit (PII-adjacent), consistent with the Step-3 WhatsApp closure's own human_review carve-out."
