family_candidate_id,surface_form,normalized_form,relation_candidate,relation_class,evidence,provenance,live_engine_values,engine_match,confidence,verification_state,human_gate_required,recommended_action
FAM-01,דוד,דוד,דויד (spelling_variant candidate),spelling_variant,same consonant skeleton +1 letter (י inserted); both exist independently in gematria_words; classic כתיב-מלא/כתיב-חסר pattern for a major biblical name,source=sod1820; vip_source=None; node_id=fabd7917-e5e5-4e86-9092-051f0b4d6ec7; is_verified=True,"{""אטבח"": 16, ""אלבם"": 200, ""אתבש"": 280, ""גדול"": 14, ""קדמי"": 41, ""רגיל"": 14, ""מילוי"": 890, ""מסתתר"": 4, ""ריבוע"": 28, ""סידורי"": 14, ""משולש גדול"": 41, ""אותיות אחרי"": 17, ""אותיות לפני"": 11}",MATCH,HIGH,"candidate (no identity link verified; is_verified=true refers only to the phrases own gematria, never to an identity claim)",YES,"ready_for_human_gate: propose word_aliases row (alias_type=spelling_variant) linking to ""דויד"", pending Zuriel — NOT inserted"
FAM-01,דויד,דוד,דוד (spelling_variant candidate),spelling_variant,"same as above, reverse direction",source=auto:תיעוד אירועים wp16571; vip_source=None; node_id=None; is_verified=True,"{""אטבח"": 106, ""אלבם"": 500, ""אתבש"": 320, ""גדול"": 24, ""קדמי"": 96, ""רגיל"": 24, ""מילוי"": 910, ""מסתתר"": 12, ""ריבוע"": 58, ""סידורי"": 24, ""משולש גדול"": 96, ""אותיות אחרי"": 37, ""אותיות לפני"": 20}",MATCH,HIGH,"candidate (no identity link verified; is_verified=true refers only to the phrases own gematria, never to an identity claim)",YES,"ready_for_human_gate: propose word_aliases row (alias_type=spelling_variant) linking to ""דוד"", pending Zuriel — NOT inserted"
FAM-02,צמח דוד,צמח דוד,"צמח דויד (spelling_variant candidate, within construct phrase)",spelling_variant,"identical construct phrase, only the embedded name-spelling differs; mirrors FAM-01 one level up (phrase containment + shared root pattern)",source=wp_id:20584; vip_source=None; node_id=a4649aad-0e86-4689-b16e-4a3fa78c7b44; is_verified=True,"{""אטבח"": 88, ""אלבם"": 309, ""אתבש"": 355, ""גדול"": 152, ""קדמי"": 717, ""רגיל"": 152, ""מילוי"": 1492, ""מסתתר"": 86, ""ריבוע"": 386, ""סידורי"": 53, ""משולש גדול"": 717, ""אותיות אחרי"": 176, ""אותיות לפני"": 128}",MATCH,HIGH,"candidate (no identity link verified; is_verified=true refers only to the phrases own gematria, never to an identity claim)",YES,"ready_for_human_gate: propose word_aliases row (alias_type=spelling_variant) linking to ""צמח דויד"", pending Zuriel — NOT inserted"
FAM-02,צמח דויד,צמח דוד,"צמח דוד (spelling_variant candidate, within construct phrase)",spelling_variant,"same as above, reverse direction",source=excel_import; vip_source=None; node_id=None; is_verified=True,"{""אטבח"": 178, ""אלבם"": 609, ""אתבש"": 395, ""גדול"": 162, ""קדמי"": 772, ""רגיל"": 162, ""מילוי"": 1512, ""מסתתר"": 94, ""ריבוע"": 416, ""סידורי"": 63, ""משולש גדול"": 772, ""אותיות אחרי"": 196, ""אותיות לפני"": 137}",MATCH,HIGH,"candidate (no identity link verified; is_verified=true refers only to the phrases own gematria, never to an identity claim)",YES,"ready_for_human_gate: propose word_aliases row (alias_type=spelling_variant) linking to ""צמח דוד"", pending Zuriel — NOT inserted"
FAM-03,דוד,דוד,דוד המלך (title/epithet candidate),title_or_epithet,"phrase containment (""דוד המלך"" contains ""דוד"" plus the title ""המלך""); both independently exist and are independently node-linked; NOT a spelling difference -- an added title word",source=sod1820; vip_source=None; node_id=fabd7917-e5e5-4e86-9092-051f0b4d6ec7; is_verified=True,"{""אטבח"": 16, ""אלבם"": 200, ""אתבש"": 280, ""גדול"": 14, ""קדמי"": 41, ""רגיל"": 14, ""מילוי"": 890, ""מסתתר"": 4, ""ריבוע"": 28, ""סידורי"": 14, ""משולש גדול"": 41, ""אותיות אחרי"": 17, ""אותיות לפני"": 11}",MATCH,MEDIUM-HIGH (pattern confidence; identity-merge confidence stays LOW by design),"candidate (no identity link verified; is_verified=true refers only to the phrases own gematria, never to an identity claim)",YES,Human-Gate only: confirm whether same-referent relation should ever be recorded (never as spelling_variant); no auto action
FAM-03,דוד המלך,דוד,"דוד (title/epithet candidate, base form)",title_or_epithet,reverse direction of the same containment pattern,source=auto:תיעוד אירועים wp31911; vip_source=None; node_id=5b53b033-85a2-46d5-b748-d9906f61a2b4; is_verified=True,"{""אטבח"": 171, ""אלבם"": 673, ""אתבש"": 430, ""גדול"": 589, ""קדמי"": 381, ""רגיל"": 109, ""מילוי"": 1159, ""מסתתר"": 59, ""ריבוע"": 248, ""סידורי"": 55, ""משולש גדול"": 2301, ""אותיות אחרי"": 143, ""אותיות לפני"": 75}",MATCH,MEDIUM-HIGH (pattern confidence; identity-merge confidence stays LOW by design),"candidate (no identity link verified; is_verified=true refers only to the phrases own gematria, never to an identity claim)",YES,Human-Gate only: confirm whether same-referent relation should ever be recorded; no auto action
FAM-04,דוד,דוד,"בן דוד (relational phrase, NOT same-referent by default)",relational_phrase,"phrase containment only; graph itself already keeps these apart structurally -- ""דוד"" is tagged world=אנשים (person), ""בן דוד"" is tagged world=גאולה (redemption/messianic concept), different node categories in the live data, consistent with the traditional reading that ""בן דוד"" denotes the Davidic Messiah, a DIFFERENT referent from David himself, not an alias of him",source=sod1820; vip_source=None; node_id=fabd7917-e5e5-4e86-9092-051f0b4d6ec7; is_verified=True,"{""אטבח"": 16, ""אלבם"": 200, ""אתבש"": 280, ""גדול"": 14, ""קדמי"": 41, ""רגיל"": 14, ""מילוי"": 890, ""מסתתר"": 4, ""ריבוע"": 28, ""סידורי"": 14, ""משולש גדול"": 41, ""אותיות אחרי"": 17, ""אותיות לפני"": 11}",MATCH,LOW-MEDIUM for ANY relation beyond genealogical reference; explicitly NOT a same-identity candidate,"candidate (no identity link verified; is_verified=true refers only to the phrases own gematria, never to an identity claim)",YES (if ever escalated),"no action recommended -- evidence points AWAY from same-referent; if Zuriel wants a genealogical/thematic edge (not identity) that is a separate, smaller decision"
FAM-04,בן דוד,דוד,"דוד (relational phrase, NOT same-referent by default)",relational_phrase,reverse direction; same world-tag evidence (גאולה vs אנשים) applies,source=auto:תיעוד אירועים wp9377; vip_source=None; node_id=32f75f33-aa55-43c0-83cb-8bccef77ee4f; is_verified=True,"{""אטבח"": 324, ""אלבם"": 243, ""אתבש"": 589, ""גדול"": 716, ""קדמי"": 239, ""רגיל"": 66, ""מילוי"": 1408, ""מסתתר"": 52, ""ריבוע"": 82, ""סידורי"": 30, ""משולש גדול"": 3339, ""אותיות אחרי"": 80, ""אותיות לפני"": 52}",MATCH,LOW-MEDIUM,"candidate (no identity link verified; is_verified=true refers only to the phrases own gematria, never to an identity claim)",YES (if ever escalated),no action recommended -- see above
FAM-05,אהרן,אהרן,אהרון (spelling_variant candidate),spelling_variant,"same consonant skeleton +1 letter (ו inserted before final ן); both exist independently in gematria_words; ""אהרן"" is node-linked (entity, world=אנשים, Aaron), ""אהרון"" is not yet node-linked -- classic כתיב-מלא/כתיב-חסר for a major biblical name, discovered live via the ו/י-insertion signal restricted to entity-token matches on both sides",source=sod1820; vip_source=None; node_id=3cc6e44d-de35-43a5-9124-7b7db137aac5; is_verified=True,"{""אטבח"": 394, ""אלבם"": 112, ""אתבש"": 502, ""גדול"": 906, ""קדמי"": 1006, ""רגיל"": 256, ""מילוי"": 742, ""מסתתר"": 349, ""ריבוע"": 469, ""סידורי"": 40, ""משולש גדול"": 4106, ""אותיות אחרי"": 368, ""אותיות לפני"": 544}",MATCH,HIGH,"candidate (no identity link verified; is_verified=true refers only to the phrases own gematria, never to an identity claim)",YES,"ready_for_human_gate: propose word_aliases row (alias_type=spelling_variant) linking to ""אהרון"", pending Zuriel — NOT inserted"
FAM-05,אהרון,אהרן,אהרן (spelling_variant candidate),spelling_variant,"same as above, reverse direction",source=promoted:raw_docx_v2; vip_source=None; node_id=None; is_verified=True,"{""אטבח"": 398, ""אלבם"": 192, ""אתבש"": 582, ""גדול"": 912, ""קדמי"": 1027, ""רגיל"": 262, ""מילוי"": 764, ""מסתתר"": 437, ""ריבוע"": 687, ""סידורי"": 46, ""משולש גדול"": 4127, ""אותיות אחרי"": 375, ""אותיות לפני"": 549}",MATCH,HIGH,"candidate (no identity link verified; is_verified=true refers only to the phrases own gematria, never to an identity claim)",YES,"ready_for_human_gate: propose word_aliases row (alias_type=spelling_variant) linking to ""אהרן"", pending Zuriel — NOT inserted"
