column,class,reason,existing_destination_if_C,derivation_if_B,provenance_source,human_gate_required,loss_if_not_persisted
id,A,"Join key; already IS gematria_words.id (verified 100% 1:1, 0 missing/dup either direction).",N/A,N/A,gematria_words.id,NO,"None — nothing to lose, it already lives."
phrase,A,"Already IS gematria_words.phrase (100% string-match, 15433/15433).",N/A,N/A,gematria_words.phrase,NO,None — already live.
source,A,"Already IS gematria_words.source (100% string-match). v3 was built FROM this column, not independently.",N/A,N/A,gematria_words.source,NO,None — already live.
world_theme,A,"0/15433 populated — dead/never-filled column in v3 itself. Live gematria_words.world already covers this ground for 1341 rows across 5 real values, strictly richer than this empty column.",N/A,N/A,N/A (empty),NO,None — there is no data here to lose.
normalization_state,A,"Internal CSV-build pipeline artifact (case-inconsistent boolean: true/false/True/False across 4 spellings) — evidence of multi-pass assembly, not project/research data.",N/A,N/A,N/A (build metadata),NO,None — not project data.
duplicate_flag,A,"Only 2 rows; v3's notion of duplicate does not correspond to the 2 real live gematria_words phrase-duplicate pairs found independently in this chain's reconciliation. Internal to v3's own multi-batch merge, already closed.",N/A,N/A,work_log (this chain's own reconciliation),NO,"None — closed finding, already logged."
garbage_broken_flag,A,"1 row, consistent with live is_verified=false for that row. Already closed per prior work_log 491aee81 Step-6 gap report.",N/A,N/A,work_log 491aee81,NO,None — already accounted for.
ambiguity_unresolved_flag,A,"1 row (id 33be710c, 'יהוה בעת ההיא') — already named the sole genuinely_unresolved item in work_log 491aee81's Step-2 closure. Live is_verified=TRUE for that row (different axis: value-verification vs classification-ambiguity, not a contradiction).",N/A,N/A,work_log 491aee81,NO,None — already tracked.
conflict_detail,A,"120 rows, both values are '[RESOLVED: ...]' — these ARE the row-level trace of the 120-conflict closure already logged in work_log ad874cd1. Nothing open remains.",N/A,N/A,work_log ad874cd1,NO,None — closure already logged; this column is just its trace.
display_recommendation,A,"An UNREVIEWED recommendation from this CSV pass (eligible/hold-restrict/dedupe-then-display), never applied to the live, already-enforced gematria_words.visibility_tier. Must never silently overwrite real access control. Keep as historical/archive context only, not a live field.",N/A,N/A,N/A (this CSV pass's own suggestion),"NO (precisely because it must NOT be auto-applied — any future application of the 214 hold/restrict rows to visibility_tier is its own separate Human-Gate decision, out of scope here)","Low — the 214 hold/restrict rows deserve a manual look someday, but that is a distinct, separate access-control review, not a persistence-format question."
historical_method_convention,A,"32 rows, single fixed value ('value-then-רגיל-suffix convention') — a footnote describing the writing convention of the raw-import rows, not an independently actionable fact.",N/A,N/A,v3 CSV self-description,NO,"Low — worth keeping as archive context alongside the 32-row method-claim family, not as its own destination."
candidate_method_dependency,A,796 rows (759 no / 37 yes) — a boolean flag riding on method_mention_type/method_claim_status; has no independent meaning apart from its parent family.,N/A,N/A,v3 CSV self-description,NO (tied to whatever gate governs its parent method_claim_* family),"Low — the 37 'yes' rows matter only as an annotation on their parent method-claim row, not standalone."
